Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3G Direct Pay Holdings Limited,-,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Diversified Support Services,Network International Holdings plc - Form Doc,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute Software Corporation,-,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Systems Software,Absolute Software Corporation 2022 Form 40-F,"Absolute Software Corporation develops, markets, and provides software services that support the management and security of computing devices, applications, data, and networks for various organizations. It Absolute platform offer Absolute Visibility that provides information on device hardware, software, and location; Absolute Control that provide remediation capabilities, such as the ability to remotely freeze devices and delete data; Absolute Resilience, which offer remote scripting, self-healing for critical apps, investigation and recovery services, and sensitive data identification; Absolute Ransomware Response that enables organizations to assess their ransomware preparedness for endpoints, monitors their endpoint cyber hygiene across the entire device fleet and allows for an expedited endpoint recovery; Absolute VPN an enterprise solution; Absolute ZTNA that protects networks and employees with real time risk analysis; and Absolute Insights for Network provides real-time data about device, application, and network performance in a single pane of glass. The company markets its solutions through device original equipment manufacturers, distributors, and value added resellers, as well as directly to healthcare organizations, educational institutions, governmental agencies, and individual consumers. Absolute Software Corporation was incorporated in 1993 and is headquartered in Vancouver, Canada with additional offices in Austin, Texas; San Jose, California; Seattle, Washington; Victoria, Canada; Reading, United Kingdom; Frankfurt, Germany; Ho Chi Minh City, Vietnam; Tokyo, Japan; and Sydney, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Academy of Environmental Planning and Design, Co.,Ltd. Nanjing University (SZSE:300864)",SZSE:300864,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Environmental and Facilities Services,"Academy of Environmental Planning and Design, Co.,Ltd. Nanjing University (SZSE:300864) - Form ","Academy of Environmental Planning and Design, Co.,Ltd. Nanjing University operates an institute for higher learning and research centers in China and internationally. The company provides environmental science research and teaching services. It also offers environmental protection services, including investigation and appraisal, planning and design, environmental impact assessment consultation, supervision and inspection, education and training, incubation investment, industry-university-research cooperation, and infrastructure construction and operation for various levels of government and development zones. In addition, the company provides services to alumni working in environmental protection related fields. The company was founded in 2012 and is based in Nanjing, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel Limited (BSE:517494),BSE:517494,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Movies and Entertainment,Accel Limited (BSE:517494) 8/30 Form Doc,"Accel Limited, together with its subsidiaries, engages in the information technology (IT) service, animation, engineering, real estate, and academic businesses in India and internationally. The company offers IT infrastructure management, network design and implementation, server and desktop virtualization, cloud services and migration, disaster recovery and business continuity planning, warranty and logistics management, cyber security managed, managed print, and software services. It also provides TETRA Radio systems, software-defined radios, cognitive radio, Wi-MAX, mobile adhoc networks, wireless sensor networks, and networking products. The company was incorporated in 1986 and is headquartered in Chennai, India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acceleware Ltd. (TSXV:AXE),TSXV:AXE,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Application Software,Acceleware Ltd. (TSXV:AXE) 2022 Form Doc,"Acceleware Ltd. operates as an oil and gas technology company in Canada and the United States. The company operates through two segments, RF Heating and High-Performance Computing. It develops an enhanced heavy oil and oil sands production technology based on radio frequency (RF) heating; and develops and markets computational software products for the oil and gas, and other markets. The company’s solutions include AxFDTD; AxHeat RF heating simulation software; AxRTM, a graphics processing unit accelerated Kirchhoff time migration solution; AxWAVE, a solution that allows customers to model seismic acquisition and perform data characterization; AxFWI, a revolutionary modular full waveform inversion application for providing subsurface velocity models. It sells computing software and related consulting services, and training programs primarily to the oil and gas industry. Acceleware Ltd. was founded in 2004 and is headquartered in Calgary, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accord Synergy Limited (NSEI:ACCORD),NSEI:ACCORD,Samsung India Electronics Pvt. Ltd.,"Subsidiary/Investment
                         ",Supplier,Diversified Support Services,Accord Synergy Limited (NSEI:ACCORD) 2023 Form Doc,"Accord Synergy Limited provides support services to the telecom industry through sub-contracting basis in India. It offers services related to planning, installation and commissioning, operation, modification, and maintenance of telecom networks; manpower solutions; staffing solutions; HR and payroll, permanent hiring, project skill, semiskill, unskill recruitment, network rollout, managed, and benchmark services; and services and solutions comprising technical site and radio surveys, network planning, radio and core equipment installation, installation supervision, and commission/ integration services. The company was formerly known as Accord Synergy Private Limited. Accord Synergy Limited was incorporated in 2014 and is based in Vadodara, India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adeia Inc. (NasdaqGS:ADEA),NasdaqGS:ADEA,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Licensor,Systems Software,Adeia Inc. (NasdaqGS:ADEA) 2024 Form 10-K,"Adeia Inc., together with its subsidiaries, operates as a media and semiconductor intellectual property licensing company in the United States, Canada, Asia, Europe, the Middle East, and internationally. The company licenses its patent portfolios across various markets, including multichannel video programming distributors comprising cable, satellite, and telecommunications television providers that aggregate and distribute linear content over networks, as well as television providers that aggregate and stream linear content over broadband networks; over-the-top video service providers and social media companies, such as subscription video-on-demand and advertising-supported streaming service providers, as well as content providers, networks, and media companies. It also licenses consumer electronics manufacturers, which includes producers of smart televisions, streaming media devices, video game consoles, mobile devices, content storage devices, and other connected media devices; semiconductors, including providers of sensors, radio frequency components, memory, and logic devices; and social media companies that allow users to stream and upload user-generated content. The company licenses its innovations under the Adeia brand name. Adeia Inc. was formerly known as Xperi Corporation and changed its name to Adeia Inc. in December 2019. The company was incorporated in 2019 and is headquartered in San Jose, California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADN Telecom Limited (DSE:ADNTEL),DSE:ADNTEL,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Integrated Telecommunication Services,ADN Telecom Limited (DSE:ADNTEL) - Form Doc,"ADN Telecom Limited operates as an Internet and data connectivity service provider in Bangladesh. It offers connectivity services, such as internet, IP/VPN, MPLS, IPLC, internal LAN connectivity, and VSAT connectivity solutions; hosting, co-location, domain registration, mail and website hosting, and public cloud services; surveillance, access control, anti-money laundering, drone, cloud hosting, and edge computing services; and IP telephony services, such as IP PBX, call center, SMS, IVR system, and voice broadcasting system services. The company also provides smart office and city, and Wi-Fi based indoor IoT solutions; large area Wi-Fi coverage, Wi-Fi network radius manage, video conference, manage, and Microsoft 365 solutions; and satellite phone services. ADN Telecom Limited was incorporated in 2003 and is based in Dhaka, Bangladesh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Health Intelligence Ltd (ASX:AHI),ASX:AHI,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Health Care Technology,Advanced Health Intelligence Ltd (ASX:AHI) 2023 Form Doc,"Advanced Health Intelligence Ltd. operates as a mobile application and technology development company in Australia and internationally. It offers biometric health assessments, a multi-step process that employs facial scanning, heart rate measurements, body composition analysis, and cardiovascular fitness tests that evaluates an individual’s health. The company also provides FaceScan, process that estimates on heart rate, respiration rate, blood pressure, and other through facial scans; BodyScan, a smart body composition and dimensioning technology that enables user to check and assess body dimensions using a smartphone; and DermaScan, a dermatological scanner. It serves mobile health and telehealth, life and health insurance, wellness, and government sectors. The company was formerly known as Advanced Human Imaging Limited and changed its name to Advanced Health Intelligence Ltd. in December 2022. Advanced Health Intelligence Ltd. was incorporated in 2014 and is based in South Perth, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Micro Devices, Inc. (NasdaqGS:AMD)",NasdaqGS:AMD,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Licensor,Semiconductors,Key DevelopmentClient Announcements Apr-05-2023,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. It operates through Data Center, Client, Gaming, and Embedded segments. The company offers x86 microprocessors and graphics processing units (GPUs) as an accelerated processing unit, chipsets, data center, and professional GPUs; and embedded processors, and semi-custom system-on-chip (SoC) products, microprocessor and SoC development services and technology, data processing unites, field programmable gate arrays (FPGA), and adaptive SoC products. It provides processors under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, and AMD PRO A-Series brand names; graphics under the AMD Radeon graphics and AMD Embedded Radeon graphics; and professional graphics under the AMD Radeon Pro graphics brand name. In addition, the company offers data center graphics under the Radeon Instinct and Radeon PRO V-series brands, as well as servers under the AMD Instinct accelerators brand; server microprocessors under the AMD EPYC brands; low power solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series brands; FPGA products under the Virtex-6, Virtex-7, Virtex UltraScale+, Kintex-7, Kintex UltraScale, Kintex UltraScale+, Artix-7, Artix UltraScale+, Spartan-6, and Spartan-7 brands; adaptive SOCs under the Zynq-7000, Zynq UltraScale+ MPSoC, Zynq UltraScale+ RFSoCs, Versal HBM, Versal Premium, Versal Prime, Versal AI Core, Versal AI Edge, Vitis, and Vivado brands; and compute and network acceleration board products under the Alveo brand. It serves original equipment and design manufacturers, public cloud service providers, system integrators, independent distributors, and add-in-board manufacturers through its direct sales force, and sales representatives. Advanced Micro Devices, Inc. was incorporated in 1969 and is headquartered in Santa Clara, California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantest Corporation (TSE:6857),TSE:6857,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Semiconductor Materials and Equipment,Advantest Corporation (TSE:6857) - Form Doc,"Advantest Corporation manufactures and sells semiconductors, component test system products, and mechatronics related products in Japan, the Americas, Europe, and Asia. The company operates through three segments: Semiconductor and Component Test System; Mechatronics Related Business; and Services, Support and Others. The Semiconductor and Component Test System segment provides customers with test system products for the semiconductor industry and the electronic parts industry, as well as offers test systems for SoC semiconductor devices, and test systems for memory semiconductors devices. The Mechatronics Related Business segment provides test handlers; mechatronic-applied products for handling semiconductor devices; and device interfaces, which serve as interfaces with the devices that are measured, as well as nano-technology related products. The Services, Support and Others segment provides test solutions of system level testing customer solutions for the semiconductor and modules, and support services. This segment is also involved in the sale of consumables and used products, and equipment lease and other businesses. It also engages in the research and development activities and provides maintenance and support services. The company was incorporated in 1946 and is headquartered in Tokyo, Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Affirm Holdings, Inc. (NasdaqGS:AFRM)",NasdaqGS:AFRM,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Transaction and Payment Processing Services,Key DevelopmentClient Announcements Jul-11-2024,"Affirm Holdings, Inc. operates payment network in the United States, Canada, and internationally. The company’s platform includes point-of-sale payment solution for consumers, merchant commerce solutions, and a consumer-focused app. Its commerce platform, agreements with originating banks, and capital markets partners enables consumers to pay for a purchase over time. The company has active merchants covering small businesses, large enterprises, direct-to-consumer brands, brick-and-mortar stores, and companies with an omni-channel presence. Its merchants represent a range of industries, including sporting goods and outdoors, home and lifestyle, travel and ticketing, electronics, fashion and beauty, equipment and auto, and general merchandise. Affirm Holdings, Inc. was founded in 2012 and is headquartered in San Francisco, California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airmate (Cayman) International Co Limited (TWSE:1626),TWSE:1626,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Household Appliances,Airmate (Cayman) International Co Limited (TWSE:1626) 2024 Form Doc,"Airmate (Cayman) International Co Limited engages in the research, design, development, production, and sale of household appliances in China, Japan, South Korea, and internationally. The company offers electric fans, electric heaters, ventilators, induction cookers, electric kettles, and other series of household appliances; and humidifiers, dehumidifiers, fresh air systems, and air purifiers. It also provides precision molds treatment services. It sells its products through online store. Airmate (Cayman) International Co Limited was founded in 1973 and is headquartered in George Town, the Cayman Islands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicon Castalloy Limited (BSE:531147),BSE:531147,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Automotive Parts and Equipment,Alicon Castalloy Limited (BSE:531147) 9/5/ Form Doc,"Alicon Castalloy Limited provides design, manufacturing, engineering, casting, machining, assembly, painting, and surface treatment services for aluminum components in India and internationally. The company offers 2 and 4-wheeler cylinder heads, transcradles, motor and compressor housings, inlet pipes, motor stators, cac tanks, controller and distributor housings, battery trays, housings, enclosure bodies, fully finished cylinder heads, swing arms, cooling/junction boxes, inverter casings, transmission cases, e-axles, and top yokes/bridge fork tops as well as suspension, chassis, and brake parts. Its products are used in various sectors, such as e-mobility, automotive, agriculture, energy, medical and health, defence, infrastructure, locomotive, aerospace, and carbon-neutral. In addition, the company exports its products to approximately 18 countries. Alicon Castalloy Limited was formerly known as Enkei Castalloy Limited and changed its name to Alicon Castalloy Limited in December 2010. The company was incorporated in 1990 and is headquartered in Pune, India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliance Material Co., Ltd. (TPEX:3595)",TPEX:3595,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Specialty Chemicals,"Alliance Material Co., Ltd. (TPEX:3595) - Form ","Alliance Material Co., Ltd. provides optical material cutting products in Taiwan. The company offers light-shielding and reflection tapes; cool release films, thermal release tapes, and UV cutting tapes; semiconductor products; protection films; and foam tapes and optical glues. It also provides precision coating, cut and roll processing, slitting and rewinding processing, coil processing, and die cutting services. The company was founded in 1984 and is headquartered in Zhubei, Taiwan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha and Omega Semiconductor Limited (NasdaqGS:AOSL),NasdaqGS:AOSL,"Samsung Electronics Co., Ltd. (KOSE:A005930)","Self
                         ",Supplier,Semiconductors,Alpha and Omega Semiconductor Limited (NasdaqGS:AOSL) 2024 Form 10-K,"Alpha and Omega Semiconductor Limited designs, develops, and supplies power semiconductor products for computing, consumer electronics, communication, and industrial applications in Hong Kong, China, South Korea, the United States, and internationally. It offers power discrete products, including metal-oxide-semiconductor field-effect transistors (MOSFET), SRFETs, XSFET, electrostatic discharge, protected MOSFETs, high and mid-voltage MOSFETs, and insulated gate bipolar transistors for use in smart phone chargers, battery packs, notebooks, desktop and servers, data centers, base stations, graphics card, game boxes, TVs, AC adapters, power supplies, motor control, power tools, E-vehicles, white goods and industrial motor drives, UPS systems, solar inverters, and industrial welding. The company also provides power ICs that deliver power, as well as control and regulate the power management variables, such as the flow of current and level of voltage. Its power ICs are used in flat panel displays, TVs, notebooks, graphic cards, servers, DVD/Blu-Ray players, set-top boxes, and networking equipment. In addition, the company offers transient voltage suppressors, analog switch, and electromagnetic interference filter for notebooks, desktop PCs, tablets, flat panel displays, TVs, smart phones, and portable electronic devices; and 650V and 1200V SiC MOSFET. Alpha and Omega Semiconductor Limited was incorporated in 2000 and is headquartered in Sunnyvale, California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
