Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 bit studios S.A. (WSE:11B),WSE:11B,Microsoft Corporation (NasdaqGS:MSFT),"Self
                         ",Supplier,Interactive Home Entertainment,11 bit studios S.A. (WSE:11B) - Form Doc,"11 bit studios S.A. engages in production and sale of cross-platform video games worldwide. The company also operates publishing business, which publishes games produced by third-party development studios. 11 bit studios S.A. was incorporated in 2009 and is headquartered in Warsaw, Poland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A10 Networks, Inc. (NYSE:ATEN)",NYSE:ATEN,Microsoft Azure Inc.,"Subsidiary/Investment
                         ",Supplier,Systems Software,"A10 Networks, Inc. (NYSE:ATEN) 2024 Form 10-K","A10 Networks, Inc. provides networking solutions in the Americas, Japan, rest of Asia Pacific, Europe, the Middle East, and Africa. The company offers Thunder Application Delivery Controller that provides advanced server load balancing; Thunder Carrier Grade Networking, which provides standards-compliant address and protocol translation services between varying types of internet protocol addresses; Thunder Secure Sockets Layer (SSL) Insight that decrypts SSL-encrypted traffic and forwards it to a third-party security device for deep packet inspection; and Thunder Convergent Firewall, which addresses multiple critical security capabilities in one package. It also provides intelligent management and automation tool comprising harmony controller that provides intelligent management, automation, and analytics for secure application delivery. In addition, the company offers A10 Defend Threat Control, a standalone SaaS platform; A10 Defend Orchestrator provides a centralized point of control for seamless distributed denial of service (DDoS) defense management and execution; A10 Defend Detector, a Netflow, Sflow, IPFIX-based DDoS detector used to easily manage the scale and heterogenous nature of SP networks; and A10 Defend Mitigator, a precision, automated, scalable, and intelligent DDoS mitigation solution. It delivers its solutions in optimized hardware appliances, bare metal software, containerized software, virtual appliances, and cloud-native software forms. The company serves cloud providers; cloud, telecommunications, and multiple system and cable service providers; government organizations; and enterprises in the telecommunications, technology, industrial, government, retail, financial, gaming, and education industries. It markets its products through sales organizations; and distribution channel partners, such as distributors, value added resellers, and system integrators. A10 Networks, Inc. was incorporated in 2004 and is headquartered in San Jose, California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A10 Networks, Inc. (NYSE:ATEN)",NYSE:ATEN,Microsoft Corporation (NasdaqGS:MSFT),"Self
                         ",Supplier,Systems Software,"A10 Networks, Inc. (NYSE:ATEN) 2024 Form 10-K","A10 Networks, Inc. provides networking solutions in the Americas, Japan, rest of Asia Pacific, Europe, the Middle East, and Africa. The company offers Thunder Application Delivery Controller that provides advanced server load balancing; Thunder Carrier Grade Networking, which provides standards-compliant address and protocol translation services between varying types of internet protocol addresses; Thunder Secure Sockets Layer (SSL) Insight that decrypts SSL-encrypted traffic and forwards it to a third-party security device for deep packet inspection; and Thunder Convergent Firewall, which addresses multiple critical security capabilities in one package. It also provides intelligent management and automation tool comprising harmony controller that provides intelligent management, automation, and analytics for secure application delivery. In addition, the company offers A10 Defend Threat Control, a standalone SaaS platform; A10 Defend Orchestrator provides a centralized point of control for seamless distributed denial of service (DDoS) defense management and execution; A10 Defend Detector, a Netflow, Sflow, IPFIX-based DDoS detector used to easily manage the scale and heterogenous nature of SP networks; and A10 Defend Mitigator, a precision, automated, scalable, and intelligent DDoS mitigation solution. It delivers its solutions in optimized hardware appliances, bare metal software, containerized software, virtual appliances, and cloud-native software forms. The company serves cloud providers; cloud, telecommunications, and multiple system and cable service providers; government organizations; and enterprises in the telecommunications, technology, industrial, government, retail, financial, gaming, and education industries. It markets its products through sales organizations; and distribution channel partners, such as distributors, value added resellers, and system integrators. A10 Networks, Inc. was incorporated in 2004 and is headquartered in San Jose, California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute Software Corporation,-,Microsoft Corporation (NasdaqGS:MSFT),"Self
                         ",Supplier,Systems Software,Absolute Software Corporation 2022 Form 40-F,"Absolute Software Corporation develops, markets, and provides software services that support the management and security of computing devices, applications, data, and networks for various organizations. It Absolute platform offer Absolute Visibility that provides information on device hardware, software, and location; Absolute Control that provide remediation capabilities, such as the ability to remotely freeze devices and delete data; Absolute Resilience, which offer remote scripting, self-healing for critical apps, investigation and recovery services, and sensitive data identification; Absolute Ransomware Response that enables organizations to assess their ransomware preparedness for endpoints, monitors their endpoint cyber hygiene across the entire device fleet and allows for an expedited endpoint recovery; Absolute VPN an enterprise solution; Absolute ZTNA that protects networks and employees with real time risk analysis; and Absolute Insights for Network provides real-time data about device, application, and network performance in a single pane of glass. The company markets its solutions through device original equipment manufacturers, distributors, and value added resellers, as well as directly to healthcare organizations, educational institutions, governmental agencies, and individual consumers. Absolute Software Corporation was incorporated in 1993 and is headquartered in Vancouver, Canada with additional offices in Austin, Texas; San Jose, California; Seattle, Washington; Victoria, Canada; Reading, United Kingdom; Frankfurt, Germany; Ho Chi Minh City, Vietnam; Tokyo, Japan; and Sydney, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi Urban Planning Council,-,Al Yah Satellite Communication Company PJSC,"Subsidiary/Investment
                         ",Lessor,Diversified Support Services,Al Yah Satellite Communication Company PJSC - Form Doc,There is no business description for this supplier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel Limited (BSE:517494),BSE:517494,Microsoft Azure Inc.,"Subsidiary/Investment
                         ",Supplier,Movies and Entertainment,Accel Limited (BSE:517494) - Form Doc,"Accel Limited, together with its subsidiaries, engages in the information technology (IT) service, animation, engineering, real estate, and academic businesses in India and internationally. The company offers IT infrastructure management, network design and implementation, server and desktop virtualization, cloud services and migration, disaster recovery and business continuity planning, warranty and logistics management, cyber security managed, managed print, and software services. It also provides TETRA Radio systems, software-defined radios, cognitive radio, Wi-MAX, mobile adhoc networks, wireless sensor networks, and networking products. The company was incorporated in 1986 and is headquartered in Chennai, India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel Limited (BSE:517494),BSE:517494,Microsoft Corporation (NasdaqGS:MSFT),"Self
                         ",Supplier,Movies and Entertainment,Accel Limited (BSE:517494) 8/30 Form Doc,"Accel Limited, together with its subsidiaries, engages in the information technology (IT) service, animation, engineering, real estate, and academic businesses in India and internationally. The company offers IT infrastructure management, network design and implementation, server and desktop virtualization, cloud services and migration, disaster recovery and business continuity planning, warranty and logistics management, cyber security managed, managed print, and software services. It also provides TETRA Radio systems, software-defined radios, cognitive radio, Wi-MAX, mobile adhoc networks, wireless sensor networks, and networking products. The company was incorporated in 1986 and is headquartered in Chennai, India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTIA Telecom S.A.,-,Al Yah Satellite Communication Company PJSC,"Subsidiary/Investment
                         ",Supplier,Communications Equipment,ACTIA Group S.A. (ENXTPA:ALATI) - Form Doc,"ACTIA Telecom S.A. designs and develops products and systems for information transmission issues. It serves broadcast, railway, energy, aerospace and defense, telecom networks infrastructure, and Satcom markets in France and internationally. ACTIA Telecom S.A. was formerly known as Actia Sodielec S.A. and changed its name to ACTIA Telecom S.A. in September 2014. The company was founded in 1968 and is based in Saint-Georges-de-Luzençon, France. ACTIA Telecom S.A. operates as a subsidiary of ACTIA Group S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Activision Blizzard, Inc.",-,Microsoft Corporation (NasdaqGS:MSFT),"Self
                         ",Supplier,Interactive Home Entertainment,"Activision Blizzard, Inc. 2023 Form 10-K","Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision, Blizzard, and King. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offers digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company’s key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, Overwatch League, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. was formerly known as Vivendi Games, Inc. and changed to Activision Blizzard, Inc. in July 2008. The company was founded in 1979 and is based in Santa Monica, California. As of October 13, 2023, Activision Blizzard, Inc. operates as a subsidiary of Microsoft Corporation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad agents GmbH,-,Microsoft Corporation (NasdaqGS:MSFT),"Self
                         ",Supplier,Advertising,ad pepper media International N.V. (XTRA:APM) - Form ,"ad agents GmbH engages in Internet marketing activities in Germany and internationally. The company offers solutions for various aspects of pay-per-click, pay-per-performance banner, affiliate, regional online, search engine, and performance marketing, as well as search engine and index optimization. It provides its consulting services to mail-order and travel industries. The company is based in Herrenberg, Germany. ad agents GmbH operates as a subsidiary of ad pepper media International N.V.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
