Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
Acrophyte Hospitality Trust (SGX:XZL),SGX:XZL,General Motors Company (NYSE:GM),"Self
                         ",Landlord,Hotel and Resort REITs,Acrophyte Hospitality Trust (SGX:XZL) 2024 Form Doc,"Listed on the Singapore Exchange on 9 May 2019, ARA US Hospitality Trust is a hospitality stapled group comprising ARA US Hospitality Property Trust (“ARA H-REIT”) and ARA US Hospitality Management Trust (“ARA H-BT”). ARA US Hospitality Trust invests in income-producing real estate assets used primarily for hospitality purposes located in the United States. As at the date of this announcement, ARA US Hospitality Trust’s portfolio currently comprises 36 select-service hotels with a total of 4,700 rooms across 18 states in the United States. ARA US Hospitality Trust is managed by ARA Trust Management (USH) Pte. Ltd. and ARA Business Trust Management (USH) Pte. Ltd. (collectively known as the “Managers”). The Managers are indirect wholly-owned subsidiaries of ARA Asset Management Limited."
AD Plastik d.d. (ZGSE:ADPL),ZGSE:ADPL,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,AD Plastik d.d. (ZGSE:ADPL) 2023 Form ,"AD Plastik d.d. develops, produces, and sells interior and exterior automotive components in Slovenia, Romania, Russia, France, Hungary, Italy, the United Kingdom, Germany, Spain, Slovakia, Croatia, Poland, the Czech Republic, and internationally. The company offers exterior components, such as front and rear bumpers, hood, front and rear bumper extender, front fender, front and rear fender protector, and rocker cladding; upper and lower grille, front skirt, and absorber; underbody covers, deflector, wheel arch housing, and window guide channel; roof spoiler; and rear skirt and diffusor. It provides interior components comprising door panels, central consoles, and instrument panel; headliners and floor carpets; parcel shelf and trunk side trim and carpets; and hard trims, sunvisor, and grab handle. In addition, the company offers seals, which comprise roof mouldings, windshield finishers, glass run channels, and door hidden frames, as well as outer and inner belts. Further, the company provides injection and blow moulding, painting, thermoforming, extrusion, non-woven textile, and assembly related technologies. AD Plastik d.d. was founded in 1952 and is headquartered in Solin, the Republic of Croatia."
Adient plc (NYSE:ADNT),NYSE:ADNT,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,Adient plc (NYSE:ADNT) 2024 Form 10-K,"Adient plc engages in the design, development, manufacture, and market of seating systems and components for passenger cars, commercial vehicles, and light trucks. The company’s automotive seating solutions include complete seating systems, mechanisms, frames, foams, head restraints, armrests, and trim covers. It serves automotive original equipment manufacturers in North America and South America; Europe, Middle East, and Africa; and the Asia Pacific/China. Adient plc was incorporated in 2016 and is based in Dublin, Ireland."
Adobe Inc. (NasdaqGS:ADBE),NasdaqGS:ADBE,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Application Software,Key DevelopmentClient Announcements Mar-22-2023,"Adobe Inc., together with its subsidiaries, operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, students, workers, marketers, educators, enthusiasts, and communicators. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. It also provides consulting, technical support, and learning services. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California."
"AeroVironment, Inc. (NasdaqGS:AVAV)",NasdaqGS:AVAV,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Aerospace and Defense,"AeroVironment, Inc. (NasdaqGS:AVAV) 2024 Form 10-K","AeroVironment, Inc. designs, develops, produces, delivers, and supports a portfolio of robotic systems and related services for government agencies and businesses in the United States and internationally. It operates through UnCrewed Systems (UxS); Loitering Munition Systems (LMS); and the MacCready Works (MW) segments. The company supplies uncrewed aircraft and ground robot systems, loitering munitions systems, and related services primarily to organizations within the U.S. Department of Defense, other federal agencies, and to international allied governments. It also offers airborne platforms, payloads and payload integration, ground control systems, and ground support equipment and other items and services related to unmanned aircraft systems. In addition, the company offers small UAS products, including training, spare parts, product repair, product replacement, maintenance, and upgrade services. Further, it develops mars Helicopters and high-altitude pseudo-satellite UAS systems. AeroVironment, Inc. was incorporated in 1971 and is headquartered in Arlington, Virginia."
Agricultural Bank of China Limited - New York Branch,-,General Motors Company (NYSE:GM),"Self
                         ",Creditor,Regional Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Agricultural Bank of China Limited - New York Branch is a bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. The company offers domestic commercial and industrial loans. Also, it provides loans to other banks, other depository institutions, other associations, companies, and financial intermediaries. The company offers loans which include planned and unplanned overdrafts, to governments in non-U. S. Countries, to their official institutions, and to international and regional institutions. The company was founded in 2012 and is based in New York, New York. Agricultural Bank of China Limited - New York Branch operates as a subsidiary of Agricultural Bank of China Limited."
Agricultural Bank of China Limited - New York Branch,-,"General Motors Financial Company, Inc.","Subsidiary/Investment
                         ",Creditor,Regional Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Agricultural Bank of China Limited - New York Branch is a bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. The company offers domestic commercial and industrial loans. Also, it provides loans to other banks, other depository institutions, other associations, companies, and financial intermediaries. The company offers loans which include planned and unplanned overdrafts, to governments in non-U. S. Countries, to their official institutions, and to international and regional institutions. The company was founded in 2012 and is based in New York, New York. Agricultural Bank of China Limited - New York Branch operates as a subsidiary of Agricultural Bank of China Limited."
Agricultural Bank of China Limited - New York Branch,-,GM Europe Treasury Company AB,"Subsidiary/Investment
                         ",Creditor,Regional Banks,General Motors Company (NYSE:GM) 2016 Form 8-K,"Agricultural Bank of China Limited - New York Branch is a bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. The company offers domestic commercial and industrial loans. Also, it provides loans to other banks, other depository institutions, other associations, companies, and financial intermediaries. The company offers loans which include planned and unplanned overdrafts, to governments in non-U. S. Countries, to their official institutions, and to international and regional institutions. The company was founded in 2012 and is based in New York, New York. Agricultural Bank of China Limited - New York Branch operates as a subsidiary of Agricultural Bank of China Limited."
Amec Foster Wheeler Americas Limited,-,Lithium Americas Corp. (TSX:LAC),"Subsidiary/Investment
                         ",Vendor,Construction and Engineering,Lithium Americas Corp. (TSX:LAC) 2024 Form Doc,There is no business description for this supplier.
"American Axle & Manufacturing Holdings, Inc. (NYSE:AXL)",NYSE:AXL,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,"American Axle & Manufacturing Holdings, Inc. (NYSE:AXL) 2024 Form 10-K","American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through two segments, Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures, including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates in North America, Asia, Europe, and South America. American Axle & Manufacturing Holdings, Inc. was founded in 1994 and is headquartered in Detroit, Michigan."
"Anhui Zhongding Sealing Parts Co., Ltd. (SZSE:000887)",SZSE:000887,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Tires and Rubber,"Anhui Zhongding Sealing Parts Co., Ltd. (SZSE:000887) - Form Doc","Anhui Zhongding Sealing Parts Co., Ltd. manufactures and sells hydraulic and pneumatic seals, and non-tire rubber products in China. Anhui Zhongding Sealing Parts Co., Ltd. was founded in 1980 and is based in Ningguo, China."
APAGCoSyst Electronic Control Systems,-,General Motors Company (NYSE:GM),"Self
                         ",Supplier,,Kanoria Chemicals & Industries Limited (NSEI:KANORICHEM) 8/22 Form Doc,There is no business description for this supplier.
Aptiv PLC (NYSE:APTV),NYSE:APTV,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,Aptiv PLC (NYSE:APTV) 2024 Form 10-K,"Aptiv PLC engages in design, manufacture, and sale of vehicle components in North America, Europe, Middle East, Africa, the Asia Pacific, South America, and internationally. The company provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets. It operates through two segments, Signal and Power Solutions, and Advanced Safety and User Experience. The Signal and Power Solutions segment designs, manufactures, and assembles vehicle’s electrical architecture, including engineered component products, connectors, wiring assemblies and harnesses, cable management products, electrical centers, and hybrid high voltage and safety distribution systems. Its Advanced Safety and User Experience segment provides critical technologies and services for vehicle safety, security, comfort, and convenience, such as sensing and perception systems, electronic control units, multi-domain controllers, vehicle connectivity systems, application software, autonomous driving technologies, and end-to-end DevOps tools. The company was formerly known as Delphi Automotive PLC and changed its name to Aptiv PLC in December 2017. Aptiv PLC was incorporated in 2011 and is based in Dublin, Ireland."
"ARRIVER HOLDCO, INC.",-,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,"ARRIVER HOLDCO, INC. 2022 Form 10-K","ARRIVER HOLDCO, INC. engages in the design, development, manufacture, and sale of automotive safety electronics primarily in North America, Europe, and Asia. It offers mono-and stereo-vision cameras, night driving assist systems, advanced driver assist systems (ADAS), electronic control units, seat belt pre-tensioner electronic controllers, and ADAS software for highly automated driving (HAD) and autonomous driving (AD). The company also provides driver monitoring systems, LiDAR sensors, RoadScape positioning, and other technologies for ADAS, HAD, and AD solutions. ARRIVER HOLDCO, INC. was formerly known as VEONEER, INC. ARRIVER HOLDCO, INC. was incorporated in 2017 and is headquartered in Stockholm, Sweden. ARRIVER HOLDCO, INC. operates as a subsidiary of Ssw Holdco Lp."
