Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albemarle Corporation (NYSE:ALB),NYSE:ALB,"Tesla, Inc. (NasdaqGS:TSLA)","Self
                         ",Supplier,Specialty Chemicals,"Tesla, Inc. (NasdaqGS:TSLA) - Form Doc","Albemarle Corporation develops, manufactures, and markets engineered specialty chemicals worldwide. It operates through three segments: Energy Storage, Specialties and Ketjen. The Energy Storage segment offers lithium compounds, including lithium carbonate, lithium hydroxide, and lithium chloride; technical services for the handling and use of reactive lithium products; and lithium-containing by-products recycling services. The Specialties segment provides bromine-based specialty chemicals, including elemental bromine, alkyl and inorganic bromides, brominated powdered activated carbon, and other bromine fine chemicals; lithium specialties, such as butyllithium and lithium aluminum hydride; develops and manufactures cesium products for the chemical and pharmaceutical industries; and zirconium, barium, and titanium products for pyrotechnical applications that include airbag initiators. The Ketjen segment offers clean fuels technologies (CFT), which is composed of hydroprocessing catalysts (HPC) together with isomerization and akylation catalysts; fluidized catalytic cracking (FCC) catalysts and additives; and performance catalyst solutions (PCS), which is composed of organometallics and curatives. The company serves the energy storage, petroleum refining, consumer electronics, construction, automotive, lubricants, pharmaceuticals, and crop protection markets. Albemarle Corporation was founded in 1887 and is headquartered in Charlotte, North Carolina.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aptiv PLC (NYSE:APTV),NYSE:APTV,"Tesla, Inc. (NasdaqGS:TSLA)","Self
                         ",Supplier,Automotive Parts and Equipment,Aptiv PLC (NYSE:APTV) 2023 Form 10-K,"Aptiv PLC engages in design, manufacture, and sale of vehicle components in North America, Europe, Middle East, Africa, the Asia Pacific, South America, and internationally. The company provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets. It operates through two segments, Signal and Power Solutions, and Advanced Safety and User Experience. The Signal and Power Solutions segment designs, manufactures, and assembles vehicle’s electrical architecture, including engineered component products, connectors, wiring assemblies and harnesses, cable management products, electrical centers, and hybrid high voltage and safety distribution systems. Its Advanced Safety and User Experience segment provides critical technologies and services for vehicle safety, security, comfort, and convenience, such as sensing and perception systems, electronic control units, multi-domain controllers, vehicle connectivity systems, application software, autonomous driving technologies, and end-to-end DevOps tools. The company was formerly known as Delphi Automotive PLC and changed its name to Aptiv PLC in December 2017. Aptiv PLC was incorporated in 2011 and is based in Dublin, Ireland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadium Lithium plc (NYSE:ALTM),NYSE:ALTM,"Tesla, Inc. (NasdaqGS:TSLA)","Self
                         ",Supplier,Specialty Chemicals,"Tesla, Inc. (NasdaqGS:TSLA) - Form Doc","Arcadium Lithium plc engages in the production of lithium chemicals products in the Asia Pacific, North America, Europe, the Middle East, Africa, and Latin America. It offers battery-grade lithium hydroxide, lithium carbonate, butyllithium and high purity lithium metal for electric vehicles, electronics, agricultural, industrial, greases, polymers, pharmaceutical, battery, and aerospace applications. The company also owns interest in various properties located in Argentina, Canada, and Western Australia. Arcadium Lithium plc was founded in 1944 and is based in Shannon, Ireland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive Properties Real Estate Investment Trust (TSX:APR.UN),TSX:APR.UN,Tesla Canada LP,"Subsidiary/Investment
                         ",Landlord,Other Specialized REITs,Automotive Properties Real Estate Investment Trust (TSX:APR.UN) 2024 Form Doc,"Automotive Properties REIT is an internally managed, unincorporated, open-ended real estate investment trust focused on owning and acquiring primarily income-producing automotive dealership properties located in Canada. The REIT's portfolio currently consists of 77 income-producing commercial properties, representing approximately 2.9 million square feet of gross leasable area, in metropolitan markets across British Columbia, Alberta, Saskatchewan, Manitoba, Ontario and Québec. Automotive Properties REIT is the only public vehicle in Canada focused on consolidating automotive dealership real estate properties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayvens (ENXTPA:AYV),ENXTPA:AYV,"Tesla, Inc. (NasdaqGS:TSLA)","Self
                         ",Supplier,Passenger Ground Transportation,Ayvens (ENXTPA:AYV) - Form Doc,"Ayvens provides service leasing and vehicle fleet management services. Its products and services include full service leasing, fleet management, outsourcing solutions, and sale and lease back; fleet consultancy; and tools and services for fleet managers and drivers. The company is also involved in trading used cars and light commercial vehicles, and the retail sale of vehicles. The company operates in Western Europe, Central and Eastern Europe, Northern Europe, South America, Africa, and Asia. The company was formerly known as ALD S.A. and changed its name to Ayvens in May 2024. The company was incorporated in 1998 and is based in Rueil-Malmaison, France. Ayvens operates as a subsidiary of Société Générale Société anonyme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banco Santander, S.A. New York Branch",-,"Tesla, Inc. (NasdaqGS:TSLA)","Self
                         ",Creditor,Diversified Banks,"Tesla, Inc. (NasdaqGS:TSLA) 2023 Form 10-K","Banco Santander, S.A. New York Branch operates as a bank. It provides domestic commercial and industrial loans. The company was founded in 1977 and is based in New York, New York.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of China - New York Branch,-,"Tesla, Inc. (NasdaqGS:TSLA)","Self
                         ",Creditor,Regional Banks,"Tesla, Inc. (NasdaqGS:TSLA) 2023 Form 10-K","Bank of China - New York Branch operates as a bank. The company is a commercial mortgage bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. It provides domestic commercial and industrial loans. Also, the company offers loans to other banks, other depository institutions, other associations, companies, and financial intermediaries. It provides loans which include planned and unplanned overdrafts, to governments in non-U. S. Countries, to their official institutions, and to international and regional institutions. It was founded in 1912 and is headquartered in New York, New York. Bank of China - New York Branch operates as a subsidiary of Bank of China Limited.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of the West (Acquired),-,"Tesla, Inc. (NasdaqGS:TSLA)","Self
                         ",Creditor,Regional Banks,"Tesla, Inc. (NasdaqGS:TSLA) 2023 Form 10-K","Bank of the West was acquired by BMO Harris Bank National Association. Bank of the West provides various financial services to consumers, businesses, and government agencies. The company offers personal banking services, including checking and savings accounts, certificates of deposit (CDs), individual retirement account CDs, debit and credit cards, as well as online and mobile banking, mobile pay, financial education, overdraft program services; car, RV, boat, and home equity loans, and investment solutions. It also provides banking, credit card, and lending solutions to small businesses; and commercial banking services, such as treasury management services, as well as asset-based lending, dealer financial, equipment financing, fraud prevention, global trade, risk management, and syndicated loan services. In addition, the company offers wealth management services comprising deposit, financial and wealth planning, global investments and fiduciary, group retirement plans, impact, online investing, investment, lending and credit, philanthropy, and protection and insurance solutions, as well as services to ultra-high net worth clients. As of December 31, 2021, it operated approximately 529 retail branch banking locations and other commercial banking offices located in Arizona, California, Colorado, Georgia, Idaho, Illinois, Iowa, Kansas, Minnesota, Missouri, Nebraska, Nevada, New Mexico, New York, North Dakota, Ohio, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wisconsin, and Wyoming. 180 Montgomery Street Branch was formerly known as Bank of the West and changed its name to 180 Montgomery Street Branch in February 2023. The company was founded in 1874 and is headquartered in San Francisco, California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barclays Bank PLC,-,"Tesla, Inc. (NasdaqGS:TSLA)","Self
                         ",Creditor,Diversified Banks,"Tesla, Inc. (NasdaqGS:TSLA) 2023 Form 10-K","Barclays Bank PLC, together with its subsidiaries, provides various banking and financial products and services to individuals, businesses, corporate companies, financial institutions, governments, and money managers the United Kingdom, Europe, the Americas, Africa, the Middle East, and Asia. It offers current and savings accounts, loans, mortgages, insurance products, bank cards, investment products, online and mobile banking services, corporate banking solutions, liquidity management, foreign exchange services, corporate lending, payment services, overdraft facilities, international trading services, wealth management services, advisory services, premier banking services, and other banking services. Barclays Bank PLC was formerly known as Barclays Bank International Limited and changed its name to Barclays Bank PLC on January 01, 1985. The company was incorporated in 1971 and is based in London, United Kingdom. Barclays Bank PLC operates as a subsidiary of Barclays PLC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP p.l.c. (LSE:BP.),LSE:BP.,"Tesla, Inc. (NasdaqGS:TSLA)","Self
                         ",Supplier,Integrated Oil and Gas,BP p.l.c. (LSE:BP.) - Form Doc,"BP p.l.c. provides carbon products and services. The company operates through Gas & Low Carbon Energy, Oil Production & Operations, and Customers & Products segments. It engages in the production of natural gas, and integrated gas and power; trading of gas; operation of onshore and offshore wind power, as well as hydrogen and carbon capture and storage facilities; trading and marketing of renewable and non-renewable power; and production of crude oil. In addition, the company involved in convenience and retail fuel, EV charging, Castrol lubricant, aviation, B2B, and midstream businesses; refining and oil trading; and bioenergy business. The company was founded in 1908 and is headquartered in London, the United Kingdom.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
