Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
3REN Berhad (KLSE:3REN),KLSE:3REN,Intel Electronics (M) Sdn. Bhd.,"Subsidiary/Investment
                         ",Supplier,Semiconductor Materials and Equipment,3REN Berhad (KLSE:3REN) - Form Doc,"3REN Berhad, an investment holding company, provides automation solutions and engineering services in Malaysia, Singapore, Thailand, the United States, China, Vietnam, the Philippines, Canada, Costa Rica, India, and Taiwan. It operates through four segments: Provision of Engineering Support Services for IC Assembly and Testing; Design, Development and Sale of Digitalised Solutions; Provision of Product Engineering Services; and Design, Development and Sale of Automated Equipment. The company provides engineering support services, such as equipment installation and tool conversion, equipment maintenance and troubleshooting, PCB rework, material transfer and management, quality, safety and control management, and inventory control management, as well as production operation. It also provides solution design development, testing and commissioning, and technical support services, as well as assembly, integration, and configuration services for digitalized solutions. In addition, the company provides product engineering services, such as post-silicon validation, NPI, and software development services; designs and develops customized automated equipment; and offers precision machining and related services. It primarily serves various segments of the semiconductor and electronics markets, as well as manufacturing companies. The company was incorporated in 2021 and is based in Bukit Mertajam, Malaysia."
3REN Berhad (KLSE:3REN),KLSE:3REN,Intel Microelectronics (M) Sdn. Bhd.,"Subsidiary/Investment
                         ",Supplier,Semiconductor Materials and Equipment,3REN Berhad (KLSE:3REN) - Form Doc,"3REN Berhad, an investment holding company, provides automation solutions and engineering services in Malaysia, Singapore, Thailand, the United States, China, Vietnam, the Philippines, Canada, Costa Rica, India, and Taiwan. It operates through four segments: Provision of Engineering Support Services for IC Assembly and Testing; Design, Development and Sale of Digitalised Solutions; Provision of Product Engineering Services; and Design, Development and Sale of Automated Equipment. The company provides engineering support services, such as equipment installation and tool conversion, equipment maintenance and troubleshooting, PCB rework, material transfer and management, quality, safety and control management, and inventory control management, as well as production operation. It also provides solution design development, testing and commissioning, and technical support services, as well as assembly, integration, and configuration services for digitalized solutions. In addition, the company provides product engineering services, such as post-silicon validation, NPI, and software development services; designs and develops customized automated equipment; and offers precision machining and related services. It primarily serves various segments of the semiconductor and electronics markets, as well as manufacturing companies. The company was incorporated in 2021 and is based in Bukit Mertajam, Malaysia."
3REN Berhad (KLSE:3REN),KLSE:3REN,Intel Products (M) Sdn. Bhd.,"Subsidiary/Investment
                         ",Supplier,Semiconductor Materials and Equipment,3REN Berhad (KLSE:3REN) - Form Doc,"3REN Berhad, an investment holding company, provides automation solutions and engineering services in Malaysia, Singapore, Thailand, the United States, China, Vietnam, the Philippines, Canada, Costa Rica, India, and Taiwan. It operates through four segments: Provision of Engineering Support Services for IC Assembly and Testing; Design, Development and Sale of Digitalised Solutions; Provision of Product Engineering Services; and Design, Development and Sale of Automated Equipment. The company provides engineering support services, such as equipment installation and tool conversion, equipment maintenance and troubleshooting, PCB rework, material transfer and management, quality, safety and control management, and inventory control management, as well as production operation. It also provides solution design development, testing and commissioning, and technical support services, as well as assembly, integration, and configuration services for digitalized solutions. In addition, the company provides product engineering services, such as post-silicon validation, NPI, and software development services; designs and develops customized automated equipment; and offers precision machining and related services. It primarily serves various segments of the semiconductor and electronics markets, as well as manufacturing companies. The company was incorporated in 2021 and is based in Bukit Mertajam, Malaysia."
3REN Berhad (KLSE:3REN),KLSE:3REN,Intel Technology Sdn. Bhd.,"Subsidiary/Investment
                         ",Supplier,Semiconductor Materials and Equipment,3REN Berhad (KLSE:3REN) - Form Doc,"3REN Berhad, an investment holding company, provides automation solutions and engineering services in Malaysia, Singapore, Thailand, the United States, China, Vietnam, the Philippines, Canada, Costa Rica, India, and Taiwan. It operates through four segments: Provision of Engineering Support Services for IC Assembly and Testing; Design, Development and Sale of Digitalised Solutions; Provision of Product Engineering Services; and Design, Development and Sale of Automated Equipment. The company provides engineering support services, such as equipment installation and tool conversion, equipment maintenance and troubleshooting, PCB rework, material transfer and management, quality, safety and control management, and inventory control management, as well as production operation. It also provides solution design development, testing and commissioning, and technical support services, as well as assembly, integration, and configuration services for digitalized solutions. In addition, the company provides product engineering services, such as post-silicon validation, NPI, and software development services; designs and develops customized automated equipment; and offers precision machining and related services. It primarily serves various segments of the semiconductor and electronics markets, as well as manufacturing companies. The company was incorporated in 2021 and is based in Bukit Mertajam, Malaysia."
Accel Limited (BSE:517494),BSE:517494,Intel Corporation (NasdaqGS:INTC),"Self
                         ",Supplier,Movies and Entertainment,Accel Limited (BSE:517494) 8/30 Form Doc,"Accel Limited, together with its subsidiaries, engages in the information technology (IT) service, animation, engineering, real estate, and academic businesses in India and internationally. The company offers IT infrastructure management, network design and implementation, server and desktop virtualization, cloud services and migration, disaster recovery and business continuity planning, warranty and logistics management, cyber security managed, managed print, and software services. It also provides TETRA Radio systems, software-defined radios, cognitive radio, Wi-MAX, mobile adhoc networks, wireless sensor networks, and networking products. The company was incorporated in 1986 and is headquartered in Chennai, India."
"Advanced Micro Devices, Inc. (NasdaqGS:AMD)",NasdaqGS:AMD,Intel Corporation (NasdaqGS:INTC),"Self
                         ",Supplier,Semiconductors,Key DevelopmentStrategic Alliances Oct-15-2024,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. It operates through Data Center, Client, Gaming, and Embedded segments. The company offers x86 microprocessors and graphics processing units (GPUs) as an accelerated processing unit, chipsets, data center, and professional GPUs; and embedded processors, and semi-custom system-on-chip (SoC) products, microprocessor and SoC development services and technology, data processing unites, field programmable gate arrays (FPGA), and adaptive SoC products. It provides processors under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, and AMD PRO A-Series brand names; graphics under the AMD Radeon graphics and AMD Embedded Radeon graphics; and professional graphics under the AMD Radeon Pro graphics brand name. In addition, the company offers data center graphics under the Radeon Instinct and Radeon PRO V-series brands, as well as servers under the AMD Instinct accelerators brand; server microprocessors under the AMD EPYC brands; low power solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series brands; FPGA products under the Virtex-6, Virtex-7, Virtex UltraScale+, Kintex-7, Kintex UltraScale, Kintex UltraScale+, Artix-7, Artix UltraScale+, Spartan-6, and Spartan-7 brands; adaptive SOCs under the Zynq-7000, Zynq UltraScale+ MPSoC, Zynq UltraScale+ RFSoCs, Versal HBM, Versal Premium, Versal Prime, Versal AI Core, Versal AI Edge, Vitis, and Vivado brands; and compute and network acceleration board products under the Alveo brand. It serves original equipment and design manufacturers, public cloud service providers, system integrators, independent distributors, and add-in-board manufacturers through its direct sales force, and sales representatives. Advanced Micro Devices, Inc. was incorporated in 1969 and is headquartered in Santa Clara, California."
"Amazon Web Services, Inc.",-,Mobileye Global Inc. (NasdaqGS:MBLY),"Subsidiary/Investment
                         ",Vendor,Internet Services and Infrastructure,Mobileye Global Inc. (NasdaqGS:MBLY) 2023 Form 10-K,"Amazon Web Services, Inc. develops and operates cloud computing services for businesses. It offers cloud infrastructure services, such as generative AI, computing, storage/content delivery, databases, and networking; platform services that include analytics, enterprise applications, mobile services, and the Internet of Things (IoT); Amazon MSK, a managed service for Apache Kafka to build and run applications based on Apache Kafka; Amazon FSx for NetApp ONTAP, a managed shared storage service; developer and management tools; security; and identity. It also provides cloud solutions for websites, backup, disaster recovery, archiving, development/test, big data, financial services, computing, digital marketing, e-commerce, media/entertainment, mobile services, IoT, enterprise IT, business applications, content delivery, health, gaming, databases, scientific computing, federal government, state/local government, education, and non-profit. The company was incorporated in 2006 and is based in Seattle, Washington. Amazon Web Services, Inc. operates as a subsidiary of Amazon.com, Inc."
"Applied Materials, Inc. (NasdaqGS:AMAT)",NasdaqGS:AMAT,Intel Corporation (NasdaqGS:INTC),"Self
                         ",Supplier,Semiconductor Materials and Equipment,"Applied Materials, Inc. (NasdaqGS:AMAT) 2023 Form 10-K","Applied Materials, Inc. engages in the provision of manufacturing equipment, services, and software to the semiconductor, display, and related industries. The company operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices. It operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. The company was incorporated in 1967 and is headquartered in Santa Clara, California."
Arm Holdings plc (NasdaqGS:ARM),NasdaqGS:ARM,Intel Corporation (NasdaqGS:INTC),"Self
                         ",Supplier,Semiconductors,Arm Holdings plc (NasdaqGS:ARM) 2023 Form 424B4,"Arm Holdings plc architects, develops, and licenses central processing unit products and related technologies for semiconductor companies and original equipment manufacturers rely on to develop products. The company is involved in the licensing, marketing, research, and development of microprocessors, systems intellectual property (IPs), graphics processing units, physical IP and associated systems IPs, software, tools, and other related services. It also offers system IP products, including memory controller IP, interconnect IP, and other on-chip peripheral components; and compute platforms for a range of devices and applications. The company’s products are used in various markets, such as automotive, computing infrastructure, consumer technologies, and Internet of things. It operates in the United States, the People’s Republic of China, Taiwan, the Republic of Korea, and internationally. The company was founded in 1990 and is headquartered in Cambridge, the United Kingdom. Arm Holdings plc operates as a subsidiary of Kronos II LLC."
Art Of Mentoring Pty. Ltd.,-,Intel Corporation (NasdaqGS:INTC),"Self
                         ",Supplier,Human Resource and Employment Services,AD1 Holdings Limited (ASX:AD1) 2023 Form Doc,"Art Of Mentoring is a company that offers mentoring programs and solutions for organizations. They provide strategic solutions for people development, DEI objectives, organizational culture shift, and value addition to membership-based organizations. The company offers software and training to support associations, corporations, and government agencies in implementing high-quality and cost-effective mentoring programs."
