Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
"All Ring Tech Co., Ltd. (TPEX:6187)",TPEX:6187,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330),"Self
                         ",Supplier,Electronic Equipment and Instruments,"All Ring Tech Co., Ltd. (TPEX:6187) 2024 Form Doc","All Ring Tech Co., Ltd. engages in the design, manufacture, and assembly of automation machines in Taiwan and China. The company offers semiconductor dispensing equipment series, including wafer level underfill dispensing machine, underfill dispensing machine, and dispensing machine; bonding series comprising FPC, PSA, Optical, and ACF mounter; AOI machines for microchip insertion, solder balling, and six sides, as well as wafer AOI machine and image measurement machine; and loader/unloader, ball mount machine, and glue coating/heat sink attach machine. It also provides cutting, rotary plating, coil winding, resistor stacking, resistor granulating, and PC rolling machine, as well as power inductor dispenser; LED sorting machine, rotary tower sorting, packaging, rolling, and dispensing machine; and CSP cleaving machine. In addition, the company is involved in research, development, and design of computer software; manufacture of optical instruments; mechanical engineering automation; manufacturing of passive component, light-emitting diode, other machine, electrical appliances, and audio visual electronics; manufacture of specialized electronic equipment, testing instruments, and accessories; international trading; investment business; and provision of related technology testing services. All Ring Tech Co., Ltd. was incorporated in 1996 and is headquartered in Kaohsiung, Taiwan."
"Allis Electric Co.,Ltd. (TWSE:1514)",TWSE:1514,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330),"Self
                         ",Supplier,Electrical Components and Equipment,"Allis Electric Co.,Ltd. (TWSE:1514) 2024 Form Doc","Allis Electric Co.,Ltd. develops, produces, and sells transformers, switching devices, and electronic products worldwide. The company provides line interactive and online uninterruptible power supply (UPS) products; telecom switching mode rectifiers; gird connected and self-consumption solar products; and SCR, rail/metro, and electric forklift truck battery chargers. It also offers transmission and distribution pole line hardware and apparatus; high-voltage metal-clad switchgear, gas-insulated switchgear, high and low voltage switchgear, motor control centers, control panels, and distribution panels; oil-immersed, cast resin, dry type, amorphous core, and cast resin potential and current transformers; and SEL multifunctional protection relays. In addition, the company provides planning, designing, installing, testing, operating manual, training, and after services on power station monitoring, as well as plans, manages, and services the procurement, supply, and installation of electrical, mechanical, air-conditioning, environmental, and water drainage equipment and system projects. It serves the IT, telecommunication, industrial, wireless, utility, and supervisory control and data acquisition sectors. Allis Electric Co.,Ltd. was founded in 1968 and is headquartered in Taipei, Taiwan."
Applied Materials South East Asia Pte. Ltd.,-,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330),"Self
                         ",Supplier,Electronic Equipment and Instruments,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330) 2015 Form Doc,Applied Materials South East Asia Pte. Ltd. provides nanomanufacturing technology solutions. The company was founded in 1967 and is based in Singapore. Applied Materials South East Asia Pte. Ltd. operates as a subsidiary of Varian Semiconductor Equipment Associates Inc.
"Applied Materials, Inc. (NasdaqGS:AMAT)",NasdaqGS:AMAT,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330),"Self
                         ",Supplier,Semiconductor Materials and Equipment,"Applied Materials, Inc. (NasdaqGS:AMAT) 2023 Form 10-K","Applied Materials, Inc. engages in the provision of manufacturing equipment, services, and software to the semiconductor, display, and related industries. The company operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices. It operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. The company was incorporated in 1967 and is headquartered in Santa Clara, California."
"ASE Technology Holding Co., Ltd. (TWSE:3711)",TWSE:3711,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330),"Self
                         ",Supplier,Semiconductors,"ASE Technology Holding Co., Ltd. (TWSE:3711) 2024 Form 20-F","ASE Technology Holding Co., Ltd., together with its subsidiaries, provides semiconductors packaging and testing, and electronic manufacturing services in the United States, Taiwan, Asia, Europe, and internationally. It develops, constructs, sells, leases, and manages real estate properties; produces substrates; offers information software, equipment leasing, investment advisory, and warehousing management services; commercial complex, after-sales, and support services; manages parking lot services; processes and sells computer and communication peripherals, electronic components, telecommunications equipment, and motherboards; and imports and exports goods and technology. ASE Technology Holding Co., Ltd. was founded in 1984 and is based in Kaohsiung, Taiwan."
ASML Holding N.V. (ENXTAM:ASML),ENXTAM:ASML,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330),"Self
                         ",Supplier,Semiconductor Materials and Equipment,ASML Holding N.V. (ENXTAM:ASML) 2023 Form 20-F,"ASML Holding N.V. develops, produces, markets, sells, and services advanced semiconductor equipment systems for chipmakers. It offers advanced semiconductor equipment systems, including lithography, metrology, and inspection systems. The company also provides extreme ultraviolet lithography systems; and deep ultraviolet lithography systems comprising immersion and dry lithography solutions to manufacture various range of semiconductor nodes and technologies. In addition, it offers metrology and inspection systems, including YieldStar optical metrology systems to assess the quality of patterns on the wafers; and HMI electron beam solutions to locate and analyze individual chip defects. Further, the company provides computational lithography solutions, and lithography systems and control software solutions; and refurbishes and upgrades lithography systems, as well as offers customer support and related services. It operates in Japan, South Korea, Singapore, Taiwan, China, rest of Asia, the Netherlands, rest of Europe, the Middle East, Africa, and the United States. The company was formerly known as ASM Lithography Holding N.V. and changed its name to ASML Holding N.V. in 2001. ASML Holding N.V. was founded in 1984 and is headquartered in Veldhoven, the Netherlands."
BE Semiconductor Industries N.V. (ENXTAM:BESI),ENXTAM:BESI,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330),"Self
                         ",Supplier,Semiconductor Materials and Equipment,BE Semiconductor Industries N.V. (ENXTAM:BESI) - Form Doc,"BE Semiconductor Industries N.V. engages in the development, manufacture, marketing, sale, and service of semiconductor assembly equipment for the semiconductor and electronics industries in China, the United States, Malaysia, Ireland, Korea, Taiwan, Thailand, Other Asia Pacific and Europe, and internationally. It operates through three segments: Die Attach, Packaging, and Plating. The company’s principal products include die attach equipment, such as single chip, multi-chip, multi module, flip chip, thermal compression bonding, fan out wafer level packaging, hybrid and embedded bridge die bonding, and die sorting systems; and packaging equipment, including conventional, ultra-thin, and wafer level molding, as well as trim and form, and singulation systems. It also provides plating equipment, such as tin, copper, and precious metal and solar plating systems, as well as related process chemicals; and tooling, conversion kits, spare parts, and other services. The company’s principal brand names include Datacon, Esec, Fico, and Meco. It offers its products primarily to multinational chip manufacturers, assembly subcontractors, and electronics and industrial companies. BE Semiconductor Industries N.V. was incorporated in 1995 and is headquartered in Duiven, the Netherlands."
C Sun Mfg Ltd. (TWSE:2467),TWSE:2467,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330),"Self
                         ",Supplier,Industrial Machinery and Supplies and Components,C Sun Mfg Ltd. (TWSE:2467) 2024 Form Doc,"C Sun Mfg Ltd. provides various processing equipment. It offers printed circuit board processing equipment, including exposure systems, preheaters, laminators/coaters, and Mylar peelers; touch panel processing equipment; semiconductor processing equipment, such as baking, plasma, and lamination equipment; and equipment for shoe, electronics, coating, printing, and consumables. The company serves various industries, such as PCB, touch panel, semiconductor, shoe making, printing, coating, and PV. It distributes its products in approximately 20 countries, including Taiwan, China, Japan, the United States, South Korea, Singapore, Malaysia, Vietnam, Thailand, and India. The company was founded in 1966 and is headquartered in New Taipei City, Taiwan."
Central Taiwan Science Park Administration,-,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330),"Self
                         ",Landlord,,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330) 2016 Form 20-F,There is no business description for this supplier.
Central Taiwan Science Park Administration,-,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330),"Self
                         ",Lessor,,Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330) 2024 Form 20-F,There is no business description for this supplier.
