Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
Arm Holdings plc (NasdaqGS:ARM),NasdaqGS:ARM,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Supplier,Semiconductors,Arm Holdings plc (NasdaqGS:ARM) 2023 Form 424B4,"Arm Holdings plc architects, develops, and licenses central processing unit products and related technologies for semiconductor companies and original equipment manufacturers rely on to develop products. The company is involved in the licensing, marketing, research, and development of microprocessors, systems intellectual property (IPs), graphics processing units, physical IP and associated systems IPs, software, tools, and other related services. It also offers system IP products, including memory controller IP, interconnect IP, and other on-chip peripheral components; and compute platforms for a range of devices and applications. The company’s products are used in various markets, such as automotive, computing infrastructure, consumer technologies, and Internet of things. It operates in the United States, the People’s Republic of China, Taiwan, the Republic of Korea, and internationally. The company was founded in 1990 and is headquartered in Cambridge, the United Kingdom. Arm Holdings plc operates as a subsidiary of Kronos II LLC."
Broadcom Corporation,-,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Licensor,Semiconductors,"Advanced Micro Devices, Inc. (NasdaqGS:AMD) 2024 Form 10-K","Broadcom Corporation provides semiconductor solutions for wired and wireless communications. Its products offer voice, video, data, and multimedia connectivity in the home, office, and mobile environments. The company operates in two segments: broadband and connectivity, and infrastructure and networking. The Broadband and Connectivity segment offers platform solutions for cable, satellite, Internet protocol, over-the-top, and terrestrial set-top boxes; DSL, cable, and fiber broadband access services; femtocells to enhance cellular coverage and small cell low-powered radio access nodes; location-based services technology and touch controllers; and integrated and discrete Wi-Fi, Bluetooth, and near-field communication solutions. The Infrastructure and Networking segment offers Ethernet switches and PHYs for service provider networks, data center implementations, and enterprise and small-and-medium businesses; Ethernet copper transceivers; automotive Ethernet products; and backplane and optical front-end physical layer devices. This segment also provides multicore communication processors, knowledge-based processors, microwave modems and RF, VoIP solutions, digital front-end processors, Ethernet controllers, and a range of custom application-specific integrated circuit solutions. The company markets and sells its products through a direct sales force, distributors, and manufacturers’ representatives in the United States; through regional offices; and through a network of independent distributors and representatives, primarily in Asia, Australia, Europe, South Africa, and South America. Broadcom Corporation was formerly known as Broadband Telecom and changed its name to Broadcom Corporation in May 1994. The company was incorporated in 1991 and is based in San Jose, California. Broadcom Corporation operates as a subsidiary of Broadcom Inc."
"Chenbro Micom Co., Ltd. (TWSE:8210)",TWSE:8210,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Supplier,"Technology Hardware, Storage and Peripherals","Chenbro Micom Co., Ltd. (TWSE:8210) 2024 Form Doc","Chenbro Micom Co., Ltd. engages in the research and development, design, manufacture, processing, and trading of computer peripherals and system of expendables in the United States, China, Taiwan, Singapore, and internationally. The company provides barebone servers; and rackmount, tower server, and PC chassis products. It offers storage expansion kits; and OEM/JDM services. In addition, the company is involved in the software design activities; and export and import of computer products and peripherals. The company was incorporated in 1983 and is headquartered in New Taipei City, Taiwan."
"Everspin Technologies, Inc. (NasdaqGM:MRAM)",NasdaqGM:MRAM,"Xilinx, Inc.","Subsidiary/Investment
                         ",Supplier,Semiconductors,"Everspin Technologies, Inc. (NasdaqGM:MRAM) 2024 Form 10-K","Everspin Technologies, Inc. engages in the manufacture and sale of magnetoresistive random access memory (MRAM) products in the United States, Japan, Hong Kong, Germany, Singapore, China, Canada, and internationally. It offers Toggle MRAM, spin-transfer torque MRAM, and tunnel magneto resistance sensor products, as well as foundry services for MRAM products. The company provides its products for applications, including industrial, medical, automotive/transportation, aerospace, and data center markets. It serves original equipment manufacturers, contract manufacturers, and original design manufacturers through a direct sales channel, and a network of representatives and distributors. Everspin Technologies, Inc. was incorporated in 2008 and is headquartered in Chandler, Arizona."
GlobalFoundries Inc. (NasdaqGS:GFS),NasdaqGS:GFS,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Licensor,Semiconductors,GlobalFoundries Inc. (NasdaqGS:GFS) 2024 Form 20-F,"GlobalFoundries Inc., a semiconductor foundry, provides range of mainstream wafer fabrication services and technologies worldwide. It manufactures various semiconductor devices, including microprocessors, mobile application processors, baseband processors, network processors, radio frequency modems, microcontrollers, and power management units. GlobalFoundries Inc. has a strategic partnership with Efficient Computer to develop high-performance computer processors. The company was incorporated in 2008 and is headquartered in Malta, New York."
GlobalFoundries Inc. (NasdaqGS:GFS),NasdaqGS:GFS,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Supplier,Semiconductors,GlobalFoundries Inc. (NasdaqGS:GFS) 2024 Form 20-F,"GlobalFoundries Inc., a semiconductor foundry, provides range of mainstream wafer fabrication services and technologies worldwide. It manufactures various semiconductor devices, including microprocessors, mobile application processors, baseband processors, network processors, radio frequency modems, microcontrollers, and power management units. GlobalFoundries Inc. has a strategic partnership with Efficient Computer to develop high-performance computer processors. The company was incorporated in 2008 and is headquartered in Malta, New York."
"Ibiden Co.,Ltd. (TSE:4062)",TSE:4062,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Supplier,Electronic Components,"Ibiden Co.,Ltd. (TSE:4062) - Form Doc","Ibiden Co.,Ltd. provides electronic and ceramics products in Japan, rest of Asia, North America, Europe, and internationally. The company offers IC package substrate for use in personal computers, data centers, and AI applications; motherboard and printed wiring boards; automotive exhaust system components, including diesel particulate filters; substrate holding mats; high temperature insulation materials; and graphite specialty products. It also provides decorative interior laminates for use in residential housing equipment, commercial facilities, offices, and hospitals. In addition, the company engages in the construction and maintenance of the renewable energy facilities; construction business; environmental engineering technology business; medical software package development; sale of information and communication terminals; and sale of welfare vehicles. Further, it engages in the solar and hydroelectric power generation. The company was formerly known as Ibigawa Electric Power Co., Ltd. and changed its name to Ibiden Co.,Ltd. in November 1982. The company was incorporated in 1912 and is headquartered in Ogaki, Japan."
"King Yuan Electronics Co., Ltd. (TWSE:2449)",TWSE:2449,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Supplier,Semiconductors,"Advanced Micro Devices, Inc. (NasdaqGS:AMD) 2024 Form 10-K","King Yuan Electronics Co., Ltd. engages in the designing, manufacturing, selling, testing, and assembly service of integrated circuits in Taiwan, Asia, North America, and internationally. It offers memory IC test solutions for memory products, such as NOR and NAND flash memory, Mask-ROM, EPROM, EEPROM, DRAM, SDRAM, RDRAM, DDR I and DDR II, SRAM, Pseudo SRAM, and embedded memory products; and consumer electronics testing solutions for games, digital audio, digital TV, set-top box, and others. The company also provides logic and mixed-signal IC test solutions for audio/video, ODD IC's, chipset, xDSL, MB/GB Ethernet, MAC, PHY, BB, MCU, AC/DC converter, embedded controllers, LVDS, USB, firewire, etc.; and liquid crystal display (LCD) driver test solutions for use in high pixel count LCD panels comprising super extended graphics array and ultra-extended graphics array. In addition, it offers CMOS mage, DPS/EMBED DRAM image, charge-coupled device image, high resolution and high speed image, and integration SOC image sensors for cameras, various mobile phones, digital cameras, and digital video recorders; and radio frequency IC test solutions, as well as cellular phone type applications. Further, the company provides system on chip (SOC) test solutions, such as testing, diagnosis, verification, characterization, and debugging services for SOC devices comprising ASIC and ASSP; solutions to test various kinds of multi-mode MEMS devices comprising microphones, gyroscope, acceleration sensor, electronic compass, and pressure sensors; and biochip testing solutions. Additionally, it offers ball grid array, QFN/DFN/WSON, thin small outline, land grid array, eMMC/eMCP/MCP, and memory card package services. The company also manufactures and sells IC burn-in systems and wafer level burn-in systems; manufactures and wholesales electronics parts and components; and offers electronics repairing services. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan."
"King Yuan Electronics Co., Ltd. (TWSE:2449)",TWSE:2449,Xilinx Asia Pacific Pte. Ltd.,"Subsidiary/Investment
                         ",Supplier,Semiconductors,"King Yuan Electronics Co., Ltd. (TWSE:2449) 2023 Form Doc","King Yuan Electronics Co., Ltd. engages in the designing, manufacturing, selling, testing, and assembly service of integrated circuits in Taiwan, Asia, North America, and internationally. It offers memory IC test solutions for memory products, such as NOR and NAND flash memory, Mask-ROM, EPROM, EEPROM, DRAM, SDRAM, RDRAM, DDR I and DDR II, SRAM, Pseudo SRAM, and embedded memory products; and consumer electronics testing solutions for games, digital audio, digital TV, set-top box, and others. The company also provides logic and mixed-signal IC test solutions for audio/video, ODD IC's, chipset, xDSL, MB/GB Ethernet, MAC, PHY, BB, MCU, AC/DC converter, embedded controllers, LVDS, USB, firewire, etc.; and liquid crystal display (LCD) driver test solutions for use in high pixel count LCD panels comprising super extended graphics array and ultra-extended graphics array. In addition, it offers CMOS mage, DPS/EMBED DRAM image, charge-coupled device image, high resolution and high speed image, and integration SOC image sensors for cameras, various mobile phones, digital cameras, and digital video recorders; and radio frequency IC test solutions, as well as cellular phone type applications. Further, the company provides system on chip (SOC) test solutions, such as testing, diagnosis, verification, characterization, and debugging services for SOC devices comprising ASIC and ASSP; solutions to test various kinds of multi-mode MEMS devices comprising microphones, gyroscope, acceleration sensor, electronic compass, and pressure sensors; and biochip testing solutions. Additionally, it offers ball grid array, QFN/DFN/WSON, thin small outline, land grid array, eMMC/eMCP/MCP, and memory card package services. The company also manufactures and sells IC burn-in systems and wafer level burn-in systems; manufactures and wholesales electronics parts and components; and offers electronics repairing services. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan."
"King Yuan Electronics Co., Ltd. (TWSE:2449)",TWSE:2449,"Xilinx, Inc.","Subsidiary/Investment
                         ",Supplier,Semiconductors,"Xilinx, Inc. 2021 Form 10-K","King Yuan Electronics Co., Ltd. engages in the designing, manufacturing, selling, testing, and assembly service of integrated circuits in Taiwan, Asia, North America, and internationally. It offers memory IC test solutions for memory products, such as NOR and NAND flash memory, Mask-ROM, EPROM, EEPROM, DRAM, SDRAM, RDRAM, DDR I and DDR II, SRAM, Pseudo SRAM, and embedded memory products; and consumer electronics testing solutions for games, digital audio, digital TV, set-top box, and others. The company also provides logic and mixed-signal IC test solutions for audio/video, ODD IC's, chipset, xDSL, MB/GB Ethernet, MAC, PHY, BB, MCU, AC/DC converter, embedded controllers, LVDS, USB, firewire, etc.; and liquid crystal display (LCD) driver test solutions for use in high pixel count LCD panels comprising super extended graphics array and ultra-extended graphics array. In addition, it offers CMOS mage, DPS/EMBED DRAM image, charge-coupled device image, high resolution and high speed image, and integration SOC image sensors for cameras, various mobile phones, digital cameras, and digital video recorders; and radio frequency IC test solutions, as well as cellular phone type applications. Further, the company provides system on chip (SOC) test solutions, such as testing, diagnosis, verification, characterization, and debugging services for SOC devices comprising ASIC and ASSP; solutions to test various kinds of multi-mode MEMS devices comprising microphones, gyroscope, acceleration sensor, electronic compass, and pressure sensors; and biochip testing solutions. Additionally, it offers ball grid array, QFN/DFN/WSON, thin small outline, land grid array, eMMC/eMCP/MCP, and memory card package services. The company also manufactures and sells IC burn-in systems and wafer level burn-in systems; manufactures and wholesales electronics parts and components; and offers electronics repairing services. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan."
