Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
AB Dynamics plc (AIM:ABDP),AIM:ABDP,Toyota Motor Corporation (TSE:7203),"Self
                         ",Supplier,Automotive Parts and Equipment,AB Dynamics plc (AIM:ABDP) - Form Doc,"AB Dynamics plc designs, develops, manufactures, and supplies vehicle test and development systems, and verification products and services for driver assistance systems, autonomous system, and vehicle dynamics. The company offers advanced vehicle testing solutions from physical proving ground automation to large scale virtual testing in simulation; rFpro, a simulation environment for the automotive and motorsport industries; and full-scale track testing services, including ADAS and vehicle dynamics tests, along with applied research, human factors, and simulation. It also provides automotive testing services comprising evaluations of ADAS systems, infotainment, connectivity, electric vehicle performance and charging, and other associated functions; and retrofit solutions that enable the automation of conventional vehicle fleets rapidly and cost-effectively. In addition, the company creates and deploys a range of Driver-in-the-Loop (DIL) simulators for all types of vehicles, driving scenarios, experiments, and product development aims. Its products are used to evaluate the performance of vehicle active safety systems, autonomous technologies, electric vehicles, vehicle’s durability, and dynamics. The company operates in the United Kingdom, Germany, the United States, China, Japan, Singapore, and internationally. The company was founded in 1982 and is headquartered in Bradford on Avon, the United Kingdom."
"ABIST Co.,Ltd. (TSE:6087)",TSE:6087,"Hino Motors, Ltd. (TSE:7205)","Subsidiary/Investment
                         ",Supplier,Research and Consulting Services,"ABIST Co.,Ltd. (TSE:6087) 2023 Form Doc","ABIST Co.,Ltd. engages in industrial design technology service business in Japan. It is involved in the contracting and engineers dispatching activities. The company also provides mechanical design and development, system/software development, electrical and electronic design and development, and AI solutions; and 3D print modeling, as well as 3D-CAD data production, analysis, and conversion services. In addition, it offers 3D-CAD education; real estate renting; and beauty and health product manufacturing and sales businesses. ABIST Co.,Ltd. was founded in 1998 and is headquartered in Mitaka, Japan."
"ABIST Co.,Ltd. (TSE:6087)",TSE:6087,Toyota Motor Corporation (TSE:7203),"Self
                         ",Supplier,Research and Consulting Services,"ABIST Co.,Ltd. (TSE:6087) 2023 Form Doc","ABIST Co.,Ltd. engages in industrial design technology service business in Japan. It is involved in the contracting and engineers dispatching activities. The company also provides mechanical design and development, system/software development, electrical and electronic design and development, and AI solutions; and 3D print modeling, as well as 3D-CAD data production, analysis, and conversion services. In addition, it offers 3D-CAD education; real estate renting; and beauty and health product manufacturing and sales businesses. ABIST Co.,Ltd. was founded in 1998 and is headquartered in Mitaka, Japan."
"Academy of Environmental Planning and Design, Co.,Ltd. Nanjing University (SZSE:300864)",SZSE:300864,Toyota Motor Corporation (TSE:7203),"Self
                         ",Supplier,Environmental and Facilities Services,"Academy of Environmental Planning and Design, Co.,Ltd. Nanjing University (SZSE:300864) - Form ","Academy of Environmental Planning and Design, Co.,Ltd. Nanjing University operates an institute for higher learning and research centers in China and internationally. The company provides environmental science research and teaching services. It also offers environmental protection services, including investigation and appraisal, planning and design, environmental impact assessment consultation, supervision and inspection, education and training, incubation investment, industry-university-research cooperation, and infrastructure construction and operation for various levels of government and development zones. In addition, the company provides services to alumni working in environmental protection related fields. The company was founded in 2012 and is based in Nanjing, China."
AD Plastik d.d. (ZGSE:ADPL),ZGSE:ADPL,Toyota Motor Corporation (TSE:7203),"Self
                         ",Supplier,Automotive Parts and Equipment,AD Plastik d.d. (ZGSE:ADPL) 2024 Form ,"AD Plastik d.d. develops, produces, and sells interior and exterior automotive components in Slovenia, Romania, Russia, France, Hungary, Italy, the United Kingdom, Germany, Spain, Slovakia, Croatia, Poland, the Czech Republic, and internationally. The company offers exterior components, such as front and rear bumpers, hood, front and rear bumper extender, front fender, front and rear fender protector, and rocker cladding; upper and lower grille, front skirt, and absorber; underbody covers, deflector, wheel arch housing, and window guide channel; roof spoiler; and rear skirt and diffusor. It provides interior components comprising door panels, central consoles, and instrument panel; headliners and floor carpets; parcel shelf and trunk side trim and carpets; and hard trims, sunvisor, and grab handle. In addition, the company offers seals, which comprise roof mouldings, windshield finishers, glass run channels, and door hidden frames, as well as outer and inner belts. Further, the company provides injection and blow moulding, painting, thermoforming, extrusion, non-woven textile, and assembly related technologies. AD Plastik d.d. was founded in 1952 and is headquartered in Solin, the Republic of Croatia."
Adient plc (NYSE:ADNT),NYSE:ADNT,Toyota Motor Corporation (TSE:7203),"Self
                         ",Supplier,Automotive Parts and Equipment,Adient plc (NYSE:ADNT) 2024 Form 10-K,"Adient plc engages in the design, development, manufacture, and market of seating systems and components for passenger cars, commercial vehicles, and light trucks. The company’s automotive seating solutions include complete seating systems, mechanisms, frames, foams, head restraints, armrests, and trim covers. It serves automotive original equipment manufacturers in North America and South America; Europe, Middle East, and Africa; and the Asia Pacific/China. Adient plc was incorporated in 2016 and is based in Dublin, Ireland."
AGC Inc. (TSE:5201),TSE:5201,Toyota Motor Corporation (TSE:7203),"Self
                         ",Supplier,Building Products,AGC Inc. (TSE:5201) - Form Doc,"AGC Inc. manufactures and sells glass, automotive, electronics, chemicals, and ceramics worldwide. The company offers architectural glass products, including laminated, insulating, wired, solar control, toughened, decorative, sound insulation, float and patterned, and industrial glasses; structural glazing systems; and automotive glass, such as laminated, tempered, and privacy glasses, as well as integrated glass antennas and module assembly windows. It also provides glass substrates for thin-film-transistor liquid crystal displays and OLEDs; synthetic fused silica glass, synthetic quartz crystals, silicon carbides, CMP slurry, through glass Vias, high refractive index glass, diffusers, glass ceramics substrates, optical planar devices, IR cut filters, aspherical glass and molded lens, and micro lens array products; polycarbonate and optical sheets, thin sheets, and films; and glass frits and pastes, as well as glass substrates for semiconductor packaging and other electronic materials. In addition, the company offers cover glass for smartphones and tablet devices; glass substrates for photovoltaic devices and touch panels; specialty glass; extra clear float glass; transparent conductive oxide glass for a-Si type solar module; and ultra-thin glass for electronics devices. Further, it provides chlor-alkali, polyurethanes, fluoro, and specialty chemical products; high thermal insulation ceramics wall for furnaces; and ceramic beads, sputtering targets, abrasion resistant ceramics, alumina cement, engineering fine ceramics, and ceramics molding agents for 3D printers. Additionally, the company engages in the digital signage on glass, copper clad laminate, and plastic optical fiber businesses; and gas and solvents, and life Science businesses. The company was formerly known as Asahi Glass Co., Ltd. and changed its name to AGC Inc. in July 2018. AGC Inc. was founded in 1907 and is headquartered in Tokyo, Japan."
Agriauto Industries Limited (KASE:AGIL),KASE:AGIL,"Hino Motors, Ltd. (TSE:7205)","Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,Agriauto Industries Limited (KASE:AGIL) - Form ,"Agriauto Industries Limited engages in the manufacture and sale of components for automotive vehicles, motor cycles, and agricultural tractors in Pakistan. The company offers shock absorbers and struts; motorcycle shock absorber and parts, such as pipe forks, case dampers, and piston rods; and sheet metal press parts, including re-enforcement instrument panels, and door impact beams for OEMs. It also provides tractor steering boxes, as well as camshafts for tractor assemblers; other parts, such as window regulators and door/hood hinges; front suspension for motorcycle; catalytic convertor; and fuel tank for passenger car. In addition, the company is involved in stamping sheet metal parts, dies, and fixtures primarily for the automotive industry. Agriauto Industries Limited was incorporated in 1981 and is based in Karachi, Pakistan."
Agriauto Industries Limited (KASE:AGIL),KASE:AGIL,Toyota Motor Corporation (TSE:7203),"Self
                         ",Supplier,Automotive Parts and Equipment,Agriauto Industries Limited (KASE:AGIL) - Form ,"Agriauto Industries Limited engages in the manufacture and sale of components for automotive vehicles, motor cycles, and agricultural tractors in Pakistan. The company offers shock absorbers and struts; motorcycle shock absorber and parts, such as pipe forks, case dampers, and piston rods; and sheet metal press parts, including re-enforcement instrument panels, and door impact beams for OEMs. It also provides tractor steering boxes, as well as camshafts for tractor assemblers; other parts, such as window regulators and door/hood hinges; front suspension for motorcycle; catalytic convertor; and fuel tank for passenger car. In addition, the company is involved in stamping sheet metal parts, dies, and fixtures primarily for the automotive industry. Agriauto Industries Limited was incorporated in 1981 and is based in Karachi, Pakistan."
Ahresty Corporation (TSE:5852),TSE:5852,Daihatsu Motor Co. Ltd.,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,Ahresty Corporation (TSE:5852) - Form Doc,"Ahresty Corporation engages in the aluminum die casting, aluminum, and proprietary products businesses in Japan, North America, and Asia. The company engages in manufacturing and sale of auto parts, general engine parts, industrial machinery parts, and dies. It is also involved in the smelting, production, and sale of aluminum alloy ingots. In addition, the company manufactures and sells MOVAFLOR, a proprietary raised floor system used in clean rooms, computer rooms, air conditioning, and offices; and peripheral equipment for die cast production. The company was formerly known as Fuso Light Alloys Co., Ltd. and changed its name to Ahresty Corporation in 1988. Ahresty Corporation was founded in 1938 and is headquartered in Tokyo, Japan."
