Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
3REN Berhad (KLSE:3REN),KLSE:3REN,Intel Electronics (M) Sdn. Bhd.,"Subsidiary/Investment
                         ",Supplier,Semiconductor Materials and Equipment,3REN Berhad (KLSE:3REN) - Form Doc,"3REN Berhad, an investment holding company, provides automation solutions and engineering services in Malaysia, Singapore, Thailand, the United States, China, Vietnam, the Philippines, Canada, Costa Rica, India, and Taiwan. It operates through four segments: Provision of Engineering Support Services for IC Assembly and Testing; Design, Development and Sale of Digitalised Solutions; Provision of Product Engineering Services; and Design, Development and Sale of Automated Equipment. The company provides engineering support services, such as equipment installation and tool conversion, equipment maintenance and troubleshooting, PCB rework, material transfer and management, quality, safety and control management, and inventory control management, as well as production operation. It also provides solution design development, testing and commissioning, and technical support services, as well as assembly, integration, and configuration services for digitalized solutions. In addition, the company provides product engineering services, such as post-silicon validation, NPI, and software development services; designs and develops customized automated equipment; and offers precision machining and related services. It primarily serves various segments of the semiconductor and electronics markets, as well as manufacturing companies. The company was incorporated in 2021 and is based in Bukit Mertajam, Malaysia."
3REN Berhad (KLSE:3REN),KLSE:3REN,Intel Microelectronics (M) Sdn. Bhd.,"Subsidiary/Investment
                         ",Supplier,Semiconductor Materials and Equipment,3REN Berhad (KLSE:3REN) - Form Doc,"3REN Berhad, an investment holding company, provides automation solutions and engineering services in Malaysia, Singapore, Thailand, the United States, China, Vietnam, the Philippines, Canada, Costa Rica, India, and Taiwan. It operates through four segments: Provision of Engineering Support Services for IC Assembly and Testing; Design, Development and Sale of Digitalised Solutions; Provision of Product Engineering Services; and Design, Development and Sale of Automated Equipment. The company provides engineering support services, such as equipment installation and tool conversion, equipment maintenance and troubleshooting, PCB rework, material transfer and management, quality, safety and control management, and inventory control management, as well as production operation. It also provides solution design development, testing and commissioning, and technical support services, as well as assembly, integration, and configuration services for digitalized solutions. In addition, the company provides product engineering services, such as post-silicon validation, NPI, and software development services; designs and develops customized automated equipment; and offers precision machining and related services. It primarily serves various segments of the semiconductor and electronics markets, as well as manufacturing companies. The company was incorporated in 2021 and is based in Bukit Mertajam, Malaysia."
3REN Berhad (KLSE:3REN),KLSE:3REN,Intel Products (M) Sdn. Bhd.,"Subsidiary/Investment
                         ",Supplier,Semiconductor Materials and Equipment,3REN Berhad (KLSE:3REN) - Form Doc,"3REN Berhad, an investment holding company, provides automation solutions and engineering services in Malaysia, Singapore, Thailand, the United States, China, Vietnam, the Philippines, Canada, Costa Rica, India, and Taiwan. It operates through four segments: Provision of Engineering Support Services for IC Assembly and Testing; Design, Development and Sale of Digitalised Solutions; Provision of Product Engineering Services; and Design, Development and Sale of Automated Equipment. The company provides engineering support services, such as equipment installation and tool conversion, equipment maintenance and troubleshooting, PCB rework, material transfer and management, quality, safety and control management, and inventory control management, as well as production operation. It also provides solution design development, testing and commissioning, and technical support services, as well as assembly, integration, and configuration services for digitalized solutions. In addition, the company provides product engineering services, such as post-silicon validation, NPI, and software development services; designs and develops customized automated equipment; and offers precision machining and related services. It primarily serves various segments of the semiconductor and electronics markets, as well as manufacturing companies. The company was incorporated in 2021 and is based in Bukit Mertajam, Malaysia."
3REN Berhad (KLSE:3REN),KLSE:3REN,Intel Technology Sdn. Bhd.,"Subsidiary/Investment
                         ",Supplier,Semiconductor Materials and Equipment,3REN Berhad (KLSE:3REN) - Form Doc,"3REN Berhad, an investment holding company, provides automation solutions and engineering services in Malaysia, Singapore, Thailand, the United States, China, Vietnam, the Philippines, Canada, Costa Rica, India, and Taiwan. It operates through four segments: Provision of Engineering Support Services for IC Assembly and Testing; Design, Development and Sale of Digitalised Solutions; Provision of Product Engineering Services; and Design, Development and Sale of Automated Equipment. The company provides engineering support services, such as equipment installation and tool conversion, equipment maintenance and troubleshooting, PCB rework, material transfer and management, quality, safety and control management, and inventory control management, as well as production operation. It also provides solution design development, testing and commissioning, and technical support services, as well as assembly, integration, and configuration services for digitalized solutions. In addition, the company provides product engineering services, such as post-silicon validation, NPI, and software development services; designs and develops customized automated equipment; and offers precision machining and related services. It primarily serves various segments of the semiconductor and electronics markets, as well as manufacturing companies. The company was incorporated in 2021 and is based in Bukit Mertajam, Malaysia."
"Advanced Micro Devices, Inc. (NasdaqGS:AMD)",NasdaqGS:AMD,Intel Corporation (NasdaqGS:INTC),"Self
                         ",Supplier,Semiconductors,Key DevelopmentStrategic Alliances Oct-15-2024,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. It operates through Data Center, Client, Gaming, and Embedded segments. The company offers x86 microprocessors and graphics processing units (GPUs) as an accelerated processing unit, chipsets, data center, and professional GPUs; and embedded processors, and semi-custom system-on-chip (SoC) products, microprocessor and SoC development services and technology, data processing unites, field programmable gate arrays (FPGA), and adaptive SoC products. It provides processors under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, and AMD PRO A-Series brand names; graphics under the AMD Radeon graphics and AMD Embedded Radeon graphics; and professional graphics under the AMD Radeon Pro graphics brand name. In addition, the company offers data center graphics under the Radeon Instinct and Radeon PRO V-series brands, as well as servers under the AMD Instinct accelerators brand; server microprocessors under the AMD EPYC brands; low power solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series brands; FPGA products under the Virtex-6, Virtex-7, Virtex UltraScale+, Kintex-7, Kintex UltraScale, Kintex UltraScale+, Artix-7, Artix UltraScale+, Spartan-6, and Spartan-7 brands; adaptive SOCs under the Zynq-7000, Zynq UltraScale+ MPSoC, Zynq UltraScale+ RFSoCs, Versal HBM, Versal Premium, Versal Prime, Versal AI Core, Versal AI Edge, Vitis, and Vivado brands; and compute and network acceleration board products under the Alveo brand. It serves original equipment and design manufacturers, public cloud service providers, system integrators, independent distributors, and add-in-board manufacturers through its direct sales force, and sales representatives. Advanced Micro Devices, Inc. was incorporated in 1969 and is headquartered in Santa Clara, California."
"Applied Materials, Inc. (NasdaqGS:AMAT)",NasdaqGS:AMAT,Intel Corporation (NasdaqGS:INTC),"Self
                         ",Supplier,Semiconductor Materials and Equipment,"Applied Materials, Inc. (NasdaqGS:AMAT) 2023 Form 10-K","Applied Materials, Inc. engages in the provision of manufacturing equipment, services, and software to the semiconductor, display, and related industries. The company operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices. It operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. The company was incorporated in 1967 and is headquartered in Santa Clara, California."
Arm Holdings plc (NasdaqGS:ARM),NasdaqGS:ARM,Intel Corporation (NasdaqGS:INTC),"Self
                         ",Supplier,Semiconductors,Arm Holdings plc (NasdaqGS:ARM) 2023 Form 424B4,"Arm Holdings plc architects, develops, and licenses central processing unit products and related technologies for semiconductor companies and original equipment manufacturers rely on to develop products. The company is involved in the licensing, marketing, research, and development of microprocessors, systems intellectual property (IPs), graphics processing units, physical IP and associated systems IPs, software, tools, and other related services. It also offers system IP products, including memory controller IP, interconnect IP, and other on-chip peripheral components; and compute platforms for a range of devices and applications. The companyÕs products are used in various markets, such as automotive, computing infrastructure, consumer technologies, and Internet of things. It operates in the United States, the PeopleÕs Republic of China, Taiwan, the Republic of Korea, and internationally. The company was founded in 1990 and is headquartered in Cambridge, the United Kingdom. Arm Holdings plc operates as a subsidiary of Kronos II LLC."
ASML Holding N.V. (ENXTAM:ASML),ENXTAM:ASML,Intel Corporation (NasdaqGS:INTC),"Self
                         ",Supplier,Semiconductor Materials and Equipment,ASML Holding N.V. (ENXTAM:ASML) 2023 Form 20-F,"ASML Holding N.V. develops, produces, markets, sells, and services advanced semiconductor equipment systems for chipmakers. It offers advanced semiconductor equipment systems, including lithography, metrology, and inspection systems. The company also provides extreme ultraviolet lithography systems; and deep ultraviolet lithography systems comprising immersion and dry lithography solutions to manufacture various range of semiconductor nodes and technologies. In addition, it offers metrology and inspection systems, including YieldStar optical metrology systems to assess the quality of patterns on the wafers; and HMI electron beam solutions to locate and analyze individual chip defects. Further, the company provides computational lithography solutions, and lithography systems and control software solutions; and refurbishes and upgrades lithography systems, as well as offers customer support and related services. It operates in Japan, South Korea, Singapore, Taiwan, China, rest of Asia, the Netherlands, rest of Europe, the Middle East, Africa, and the United States. The company was formerly known as ASM Lithography Holding N.V. and changed its name to ASML Holding N.V. in 2001. ASML Holding N.V. was founded in 1984 and is headquartered in Veldhoven, the Netherlands."
BE Semiconductor Industries N.V. (ENXTAM:BESI),ENXTAM:BESI,Intel Corporation (NasdaqGS:INTC),"Self
                         ",Supplier,Semiconductor Materials and Equipment,BE Semiconductor Industries N.V. (ENXTAM:BESI) - Form Doc,"BE Semiconductor Industries N.V. engages in the development, manufacture, marketing, sale, and service of semiconductor assembly equipment for the semiconductor and electronics industries in China, the United States, Malaysia, Ireland, Korea, Taiwan, Thailand, Other Asia Pacific and Europe, and internationally. It operates through three segments: Die Attach, Packaging, and Plating. The companyÕs principal products include die attach equipment, such as single chip, multi-chip, multi module, flip chip, thermal compression bonding, fan out wafer level packaging, hybrid and embedded bridge die bonding, and die sorting systems; and packaging equipment, including conventional, ultra-thin, and wafer level molding, as well as trim and form, and singulation systems. It also provides plating equipment, such as tin, copper, and precious metal and solar plating systems, as well as related process chemicals; and tooling, conversion kits, spare parts, and other services. The companyÕs principal brand names include Datacon, Esec, Fico, and Meco. It offers its products primarily to multinational chip manufacturers, assembly subcontractors, and electronics and industrial companies. BE Semiconductor Industries N.V. was incorporated in 1995 and is headquartered in Duiven, the Netherlands."
Bloom Energy Corporation (NYSE:BE),NYSE:BE,Intel Corporation (NasdaqGS:INTC),"Self
                         ",Supplier,Heavy Electrical Equipment,Key DevelopmentClient Announcements May-09-2024,"Bloom Energy Corporation designs, manufactures, sells, and installs solid-oxide fuel cell systems for on-site power generation in the United States and internationally. The company offers Bloom Energy Server, a solid oxide technology that converts fuel, such as natural gas, biogas, hydrogen, or a blend of these fuels into electricity through an electrochemical process without combustion. It sells its products through direct and indirect sales channels to utilities, data centers, agriculture, retail, hospitals, higher education, biotech, and manufacturing industries. The company was formerly known as Ion America Corp. and changed its name to Bloom Energy Corporation in 2006. Bloom Energy Corporation was incorporated in 2001 and is headquartered in San Jose, California."
