Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm Holdings plc (NasdaqGS:ARM),NasdaqGS:ARM,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Supplier,Semiconductors,Arm Holdings plc (NasdaqGS:ARM) 2023 Form 424B4,"Arm Holdings plc architects, develops, and licenses central processing unit products and related technologies for semiconductor companies and original equipment manufacturers rely on to develop products. The company is involved in the licensing, marketing, research, and development of microprocessors, systems intellectual property (IPs), graphics processing units, physical IP and associated systems IPs, software, tools, and other related services. It also offers system IP products, including memory controller IP, interconnect IP, and other on-chip peripheral components; and compute platforms for a range of devices and applications. The company’s products are used in various markets, such as automotive, computing infrastructure, consumer technologies, and Internet of things. It operates in the United States, the People’s Republic of China, Taiwan, the Republic of Korea, and internationally. The company was founded in 1990 and is headquartered in Cambridge, the United Kingdom. Arm Holdings plc operates as a subsidiary of Kronos II LLC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bank of America, National Association",-,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Creditor,Asset Management and Custody Banks,"Advanced Micro Devices, Inc. (NasdaqGS:AMD) 2023 Form 10-Q","Bank of America, National Association provides banking and financial products and services for individual consumers, small and middle-market businesses, institutional investors, large corporations, and governments worldwide. Its Consumer Banking segment offers traditional and money market savings accounts, certificates of deposit and IRAs, noninterest- and interest-bearing checking accounts, and investment accounts and products; credit and debit cards; residential mortgages; and home equity loans; as well as direct and indirect loans, such as automotive, recreational vehicle, and consumer personal loans. The company’s Global Wealth & Investment Management segment offers investment management, brokerage, banking, and trust and retirement products and services; and wealth management solutions, as well as customized solutions, including specialty asset management services. Its Global Banking segment provides lending products and services, including commercial loans, leases, commitment facilities, trade finance, and commercial real estate and asset-based lending; treasury solutions, such as treasury management, foreign exchange, and short-term investing options; and merchant services; working capital management solutions; debt and equity underwriting and distribution; and merger-related and other advisory services. The company’s Global Markets segment offers market-making, financing, securities clearing, settlement, and custody services, as well as risk management products using interest rates, equity, credit, currency and commodity derivatives, foreign exchange, fixed-income, and mortgage-related products. Bank of America, National Association was founded in 1904 and is based in Charlotte, North Carolina. Bank of America, National Association operates as a subsidiary of BAC North America Holding Company.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of China - Los Angeles Branch,-,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Creditor,Regional Banks,"Advanced Micro Devices, Inc. (NasdaqGS:AMD) 2023 Form 10-Q","Bank of China - Los Angeles Branch operates as a bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. The company offers domestic commercial and industrial loans. Also, it provides loans to other banks, other depository institutions, other associations, companies, and financial intermediaries. The company was founded in 1988 and is based in Los Angeles, California. Bank of China - Los Angeles Branch operates as a subsidiary of Bank of China Limited.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barclays Bank PLC,-,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Creditor,Diversified Banks,"Advanced Micro Devices, Inc. (NasdaqGS:AMD) 2023 Form 10-Q","Barclays Bank PLC, together with its subsidiaries, provides various banking and financial products and services to individuals, businesses, corporate companies, financial institutions, governments, and money managers the United Kingdom, Europe, the Americas, Africa, the Middle East, and Asia. It offers current and savings accounts, loans, mortgages, insurance products, bank cards, investment products, online and mobile banking services, corporate banking solutions, liquidity management, foreign exchange services, corporate lending, payment services, overdraft facilities, international trading services, wealth management services, advisory services, premier banking services, and other banking services. Barclays Bank PLC was formerly known as Barclays Bank International Limited and changed its name to Barclays Bank PLC on January 01, 1985. The company was incorporated in 1971 and is based in London, United Kingdom. Barclays Bank PLC operates as a subsidiary of Barclays PLC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadcom Corporation,-,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Licensor,Semiconductors,"Advanced Micro Devices, Inc. (NasdaqGS:AMD) 2024 Form 10-K","Broadcom Corporation provides semiconductor solutions for wired and wireless communications. Its products offer voice, video, data, and multimedia connectivity in the home, office, and mobile environments. The company operates in two segments: broadband and connectivity, and infrastructure and networking. The Broadband and Connectivity segment offers platform solutions for cable, satellite, Internet protocol, over-the-top, and terrestrial set-top boxes; DSL, cable, and fiber broadband access services; femtocells to enhance cellular coverage and small cell low-powered radio access nodes; location-based services technology and touch controllers; and integrated and discrete Wi-Fi, Bluetooth, and near-field communication solutions. The Infrastructure and Networking segment offers Ethernet switches and PHYs for service provider networks, data center implementations, and enterprise and small-and-medium businesses; Ethernet copper transceivers; automotive Ethernet products; and backplane and optical front-end physical layer devices. This segment also provides multicore communication processors, knowledge-based processors, microwave modems and RF, VoIP solutions, digital front-end processors, Ethernet controllers, and a range of custom application-specific integrated circuit solutions. The company markets and sells its products through a direct sales force, distributors, and manufacturers’ representatives in the United States; through regional offices; and through a network of independent distributors and representatives, primarily in Asia, Australia, Europe, South Africa, and South America. Broadcom Corporation was formerly known as Broadband Telecom and changed its name to Broadcom Corporation in May 1994. The company was incorporated in 1991 and is based in San Jose, California. Broadcom Corporation operates as a subsidiary of Broadcom Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chenbro Micom Co., Ltd. (TWSE:8210)",TWSE:8210,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Supplier,"Technology Hardware, Storage and Peripherals","Chenbro Micom Co., Ltd. (TWSE:8210) 2024 Form Doc","Chenbro Micom Co., Ltd. engages in the research and development, design, manufacture, processing, and trading of computer peripherals and system of expendables in the United States, China, Taiwan, Singapore, and internationally. The company provides barebone servers; and rackmount, tower server, and PC chassis products. It offers storage expansion kits; and OEM/JDM services. In addition, the company is involved in the software design activities; and export and import of computer products and peripherals. The company was incorporated in 1983 and is headquartered in New Taipei City, Taiwan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirata plc (AIM:CRTA),AIM:CRTA,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Supplier,Systems Software,Cirata plc (AIM:CRTA) - Form Doc,"Cirata plc, together with its subsidiaries, engages in the development and provision of collaboration software in North America, Europe, China, and internationally. The company provides Data Migrator, an automated solution that moves on-premises HDFS data, Hive metadata, local filesystem, or cloud data sources to any cloud or on-premises environment; and Data Migrator for Hadoop, a cloud migration solution that automates the seamless transfer of HDFS data and Hive metadata to the cloud. It also offers Access Control Plus, an access control solution, that enables project administrators to manage the complexity of complete and proper authentication (AuthN) and authorization (AuthZ) configuration file generation; and Gerrit MultiSite, a development team collaboration solution, which enables replication of Gerrit server and packaged in a simple to deploy and maintain format. In addition, the company provides Git MultiSite and Subversion MultiSite Plus solutions enable distributed teams to collaborate as one with no downtime, no disruption, and consistent security policy enforcement across all locations. It offers its solutions for automotive, telecommunications, and financial service industries. The company was formerly known as WANdisco plc and changed its name to Cirata plc in October 2023. Cirata plc was incorporated in 2012 and is based in Saint Helier, Jersey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Citibank, N.A.",-,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Creditor,Diversified Banks,"Advanced Micro Devices, Inc. (NasdaqGS:AMD) 2023 Form 10-Q","Citibank, N.A. provides various banking products and services to customers. It offers credit cards; checking and savings accounts; certificate of deposits; personal and housing loans; mortgages; lines of credit; investments and insurance; wealth management; and online banking services. Citibank, N.A. was founded in 1812 and is based in New York, New York. Citibank, N.A. operates as a subsidiary of Citicorp LLC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Everspin Technologies, Inc. (NasdaqGM:MRAM)",NasdaqGM:MRAM,"Xilinx, Inc.","Subsidiary/Investment
                         ",Supplier,Semiconductors,"Everspin Technologies, Inc. (NasdaqGM:MRAM) 2024 Form 10-K","Everspin Technologies, Inc. engages in the manufacture and sale of magnetoresistive random access memory (MRAM) products in the United States, Japan, Hong Kong, Germany, Singapore, China, Canada, and internationally. It offers Toggle MRAM, spin-transfer torque MRAM, and tunnel magneto resistance sensor products, as well as foundry services for MRAM products. The company provides its products for applications, including industrial, medical, automotive/transportation, aerospace, and data center markets. It serves original equipment manufacturers, contract manufacturers, and original design manufacturers through a direct sales channel, and a network of representatives and distributors. Everspin Technologies, Inc. was incorporated in 2008 and is headquartered in Chandler, Arizona.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlobalFoundries Inc. (NasdaqGS:GFS),NasdaqGS:GFS,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)","Self
                         ",Licensor,Semiconductors,GlobalFoundries Inc. (NasdaqGS:GFS) 2024 Form 20-F,"GlobalFoundries Inc., a semiconductor foundry, provides range of mainstream wafer fabrication services and technologies worldwide. It manufactures various semiconductor devices, including microprocessors, mobile application processors, baseband processors, network processors, radio frequency modems, microcontrollers, and power management units. GlobalFoundries Inc. has a strategic partnership with Efficient Computer to develop high-performance computer processors. The company was incorporated in 2008 and is headquartered in Malta, New York.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
